"Project.Name","PlatformPortfolio","Action_Obligation_OMB24_GDP22","Action_Obligation_2023","rank_total","rank_2023","TopProject"
"GCA","Electronics, Comms, & Sensors",103806954.523298,0,153,376.5,NA
"GCCS-A","Electronics, Comms, & Sensors",598341.023464059,0,553,376.5,NA
"GCCS-AF","Electronics, Comms, & Sensors",656721678.783016,656721678.783016,46,29,NA
"GCCS-J","Electronics, Comms, & Sensors",27213946.8406047,0,258,376.5,NA
"GCCS-M","Electronics, Comms, & Sensors",458514180.493358,458514180.493358,58,32,NA
"GCH","Electronics, Comms, & Sensors",60528842.4548676,0,194,376.5,NA
"GCI","Electronics, Comms, & Sensors",24261959.1912554,0,273,376.5,NA
"GCSS ARMY","Electronics, Comms, & Sensors",231534166.158803,0,97,376.5,NA
"GCSS DOD","Electronics, Comms, & Sensors",36330880.3527315,0,232,376.5,NA
"GCSS-A INC 1","Aircraft",552771.20092899,0,388,273.5,NA
"GCSS-A INC 1","Electronics, Comms, & Sensors",24367433.3409311,24367433.3409311,272,48,NA
"GCSS-A INC 1","Land Vehicles",99803.064915354,0,186,114,NA
"GCSS-A INC 1","Ordnance and Missiles",71501.4955143687,71501.4955143687,300,40,NA
"GCSS-A INC 2","Land Vehicles",10228099.6676619,0,92,114,NA
"GCSS-AF","Electronics, Comms, & Sensors",3446777825.87828,48254889562.2959,6,6,"GCSS-AF"
"GCSS-AT","Electronics, Comms, & Sensors",36269196.6307673,0,233,376.5,NA
"GCSS-CC/JTF","Electronics, Comms, & Sensors",208821.92616497,0,600,376.5,NA
"GCSS-MC","Electronics, Comms, & Sensors",99925723.7864516,399702895.145807,156,33,NA
"GDE","Space Systems",0,0,57.5,36.5,NA
"GEN SET, SMOKE, MECH XM15","Ordnance and Missiles",16973858.588774,0,149,185,NA
"GENERATING PLNTS TRL MTD","Land Vehicles",596801.80963722,0,158,114,NA
"GEODSS","Space Systems",116151125.039125,0,32,36.5,NA
"GF-4473 SDC ARRAY MULTIP","Electronics, Comms, & Sensors",105973921.154173,0,149,376.5,NA
"GFD","Electronics, Comms, & Sensors",2161999.22833943,0,465,376.5,NA
"GFEBS","Electronics, Comms, & Sensors",983491.867252556,0,520,376.5,NA
"GFEBS","Facilities and Construction",1078801.6659034,0,76,78,NA
"GGU-71A OBOGS OXY CONCENT","Aircraft",261097.508111056,0,412,273.5,NA
"GHI","Electronics, Comms, & Sensors",4715695.51027727,0,407,376.5,NA
"GHR","Electronics, Comms, & Sensors",38108097.2403101,38108097.2403101,227,47,NA
"GHT","Electronics, Comms, & Sensors",69176696.8288211,69176696.8288211,185,41,NA
"GHY","Aircraft",63333445.3468008,0,230,273.5,NA
"GHY","Electronics, Comms, & Sensors",173383517.738796,0,121,376.5,NA
"GIB","Electronics, Comms, & Sensors",28310450.8880452,0,255,376.5,NA
"GIGBE","Electronics, Comms, & Sensors",7874825.32448787,0,354,376.5,NA
"GIH","Electronics, Comms, & Sensors",220197.410289522,0,596,376.5,NA
"GIL","Electronics, Comms, & Sensors",6649980.47181217,0,372,376.5,NA
"GIL","Facilities and Construction",1240139.25736824,0,75,78,NA
"GLOBAL HAWK","Aircraft",8213075829.10107,205326895727.527,40,24,NA
"GMLRS","Ordnance and Missiles",16592064086.506,1310773062833.97,5,4,"GMLRS"
"GNF","Electronics, Comms, & Sensors",27029796.7278252,0,259,376.5,NA
"GNL","Electronics, Comms, & Sensors",237466170.912453,0,94,376.5,NA
"GNP","Electronics, Comms, & Sensors",1025973.30551254,0,514,376.5,NA
"GNP","Other R&D and Knowledge Based",732019.955232126,0,77,63,NA
"GNW","Electronics, Comms, & Sensors",2827068.90624468,0,446,376.5,NA
"GOGGLES AN/PVS-5","Electronics, Comms, & Sensors",233796783.634591,0,96,376.5,NA
"GPALS (SDS)","Missile Defense",14394743.6741925,100763205.719348,53,16,NA
"GPS III","Space Systems",568000192.659195,3408001155.95517,20,8,NA
"GPU-5A 3UMM POD","Ordnance and Missiles",1953907.39898578,0,221,185,NA
"GROUND BASED COMMON SENSO","Electronics, Comms, & Sensors",12704982.2111133,0,327,376.5,NA
"GROUND COMMAND POST","Electronics, Comms, & Sensors",1072346.3705505,0,510,376.5,NA
"GRU","Electronics, Comms, & Sensors",86924346.1228294,0,168,376.5,NA
"GSS","Electronics, Comms, & Sensors",-149915.887071396,0,678,376.5,NA
"GSS","Ships & Submarines",21315825.9026055,0,114,131,NA
"GSSI GRND SUP SYS INTEG","Electronics, Comms, & Sensors",229993782.375429,0,98,376.5,NA
"GTN","Electronics, Comms, & Sensors",26538315.050353,0,261,376.5,NA
"GTN-21","Other R&D and Knowledge Based",4988178.39519932,0,41,63,NA
"GTP","Electronics, Comms, & Sensors",31734284.6504333,0,246,376.5,NA
"GUARDRAIL COMMON SENSOR","Electronics, Comms, & Sensors",60053823.3327103,0,195,376.5,NA
"GUIDED MISSILE SHIP-AVM","Ordnance and Missiles",2051754.03625348,0,220,185,NA
"GUIDED MSL LAUNCH MK-13","Ordnance and Missiles",123973906.534897,0,96,185,NA
"GUIDED MSL LAUNCH MK-26","Ordnance and Missiles",111069678.321521,0,101,185,NA
"GUIDED MSL LAUNCH MK-41","Ordnance and Missiles",3832583850.79368,0,19,185,NA
"GUIDED MSL LAUNCH MK-49","Ordnance and Missiles",183944489.589822,0,87,185,NA
"GUIDED MSL LAUNCH MK-73","Ordnance and Missiles",277707654.524287,0,75,185,NA
"GUPPY I SUBMARINE","Ships & Submarines",11365162.5435215,0,130,131,NA
"GWEN","Electronics, Comms, & Sensors",518745.738868964,0,561,376.5,NA
"GYI","Electronics, Comms, & Sensors",-15835.2719368091,0,670,376.5,NA
"GYY","Electronics, Comms, & Sensors",331109307.777559,662218615.555117,79,28,NA
"GYZ","Other R&D and Knowledge Based",1158444.71362312,0,68,63,NA
"H-1 UPGRADE","Aircraft",12878944778.0184,1493957594250.14,22,10,NA
"H-13 SIOUX","Aircraft",49445821.3300611,0,244,273.5,NA
"H-19 CHICSASAW","Aircraft",3072281.23484989,0,335,273.5,NA
"H-2 SEASPRITE","Ordnance and Missiles",1029711.90300203,0,244,185,NA
"H-3 JOLLY GREEN GIANT","Aircraft",129900492.843311,0,202,273.5,NA
"H-3 SEA KING","Aircraft",123671602.058678,0,205,273.5,NA
"H-34 SEAHORSE/SEABAT","Aircraft",1452025.0919239,0,358,273.5,NA
"H-37 MOJAVE","Aircraft",26294058.3863248,0,262,273.5,NA
"H-43 HUSKIE","Electronics, Comms, & Sensors",-80167.7094025127,0,674,376.5,NA
"H-46 SEA KNIGHT","Aircraft",1872647812.02977,0,92,273.5,NA
"H-51","Aircraft",3320904.94787456,0,333,273.5,NA
"H-52","Aircraft",727399.734008832,0,380,273.5,NA
"H-57 SEARANGER","Aircraft",117484485.040334,0,207,273.5,NA
"H. MOB. MP WHEELED VEH (H","Land Vehicles",707419078.353816,0,25,114,NA
"H/LGM 25 TITAN","Electronics, Comms, & Sensors",796948.667876408,0,535,376.5,NA
"H/LGM 25 TITAN","Ordnance and Missiles",-874110.446487606,0,320,185,NA
"H/LGM 25 TITAN","Space Systems",1397706357.65031,0,14,36.5,NA
"H100-T400-CP400 PT-6T-3","Aircraft",240155766.351272,0,179,273.5,NA
"HAEUAV","Aircraft",7127315.92950342,0,303,273.5,NA
"HAND FRAG ALL TYPES","Ordnance and Missiles",567866.41234773,0,256,185,NA
"HAND GRENADES ALL TYPES","Ordnance and Missiles",24269782.8594148,0,140,185,NA
"HANGER AIRCRAFT","Facilities and Construction",908595.279357492,0,79,78,NA
"HARM (AIR FORCE)","Ordnance and Missiles",15268210.4995655,15268210.4995655,153,36,NA
"HARM (NAVY)","Ordnance and Missiles",4621697.22472136,0,187,185,NA
"HARPOON","Ordnance and Missiles",310185593.0686,0,72,185,NA
"HAVE QUICK","Electronics, Comms, & Sensors",361730.745111691,0,576,376.5,NA
"HAWK IMPROVED","Ordnance and Missiles",333363112.950577,3666994242.45635,69,24,NA
"HDBTDC","Ordnance and Missiles",1333.01577165208,0,312,185,NA
"HEATER H-1","Facilities and Construction",4467476.34884094,0,55,78,NA
"HEAVY EQ XM523/524 M123/1","Land Vehicles",21684970.3747305,0,72,114,NA
"HELICOPTER NEW TRAINING","Aircraft",95992483.3160381,0,214,273.5,NA
"HELLFIRE MODULAR MSL SYS","Ordnance and Missiles",4017329434.54556,0,17,185,NA
"HELMET SYSTEM HGU-51/PCD","Electronics, Comms, & Sensors",30538674.2955125,0,247,376.5,NA
"HFAJ","Electronics, Comms, & Sensors",2859206.97768625,0,445,376.5,NA
"HH-53 SUPER JOLLY","Aircraft",825572893.423641,0,134,273.5,NA
"HHD-60","Aircraft",26773504.1164695,0,261,273.5,NA
"HIGH MOBILITY TRAILER","Land Vehicles",23623509.7297514,0,68,114,NA
"HIMARS","Ordnance and Missiles",2055560968.4101,6166682905.23029,33,21,NA
"HLR","Aircraft",6578163996.60281,618347415680.664,49,16,NA
"HMMLTV","Land Vehicles",487194912.766949,1461584738.30085,31,12,NA
"HMMWV","Land Vehicles",2217492.05264667,0,134,114,NA
"HOSPITAL SHIP-AH","Ships & Submarines",26719865.0283701,0,105,131,NA
"HPCM","Electronics, Comms, & Sensors",370970710.09718,1483882840.38872,72,21,NA
"HURRICANE KATRINA","Facilities and Construction",6480484517.51807,0,5,78,"HURRICANE KATRINA"
"HURRICANE RITA","Facilities and Construction",652935127.345428,0,15,78,NA
"HUSH HOUSE","Facilities and Construction",59772605.8796545,0,26,78,NA
"HVY EXPANDED MOB. AMMO TR","Land Vehicles",1161736.18692279,0,147,114,NA
"HVY EXPANDED MOB. TAC TRU","Land Vehicles",352820895.026531,0,39,114,NA
"HYDRAULIC TEST STAND MK-3","Aircraft",641400.999540568,0,384,273.5,NA
"HYDRAULIC TEST STAND MK-3","Electronics, Comms, & Sensors",62486.9887401787,0,645,376.5,NA
"I0-360D","Aircraft",1453157.46271638,0,357,273.5,NA
"IAA","Electronics, Comms, & Sensors",5910310.60591847,0,380,376.5,NA
"IAMD","Missile Defense",587441346.470763,10573944236.4737,26,14,NA
"ICBM FUZE MOD","Other Products",6140.66245727424,0,57,31.5,NA
"ICEBREAKER-AGB","Ships & Submarines",543550693.690138,0,39,131,NA
"IDECM","Electronics, Comms, & Sensors",400851751.768322,2004258758.84161,65,17,NA
"IDHS INTELLIGENCE DATA HA","Electronics, Comms, & Sensors",28873303.2120676,0,251,376.5,NA
"ILS-S","Electronics, Comms, & Sensors",9872.31480485534,0,661,376.5,NA
"ILS-S","Ordnance and Missiles",129188739.985799,258377479.971599,95,33,NA
"ILS-S","Other Products",11283.4640512505,0,55,31.5,NA
"ILS-S","Other R&D and Knowledge Based",6829.03979817363,0,102,63,NA
"IMAGERY PROCESSING SYSTEM","Electronics, Comms, & Sensors",1650245.82465097,0,485,376.5,NA
"IMDS","Aircraft",4018.22142996126,0,446,273.5,NA
"IMDS","Electronics, Comms, & Sensors",4204513.12708871,4204513.12708871,419,53,NA
"IMDS","Facilities and Construction",9564.3881616037,0,129,78,NA
"IMDS","Land Vehicles",2464410.90278233,0,131,114,NA
"IMPROVED MORTAR BALLISTIC","Ordnance and Missiles",40502.0991238795,0,305,185,NA
"IMPROVED RADAR SIMULATOR","Missile Defense",656297.027424724,0,72,48.5,NA
"IMPROVED TARGET ACQ SYS","Missile Defense",458784324.511754,0,29,48.5,NA
"IMPRVD CHEMICAL AGENT MON","Facilities and Construction",41467942.1130268,0,34,78,NA
"IMPULSE ARD-863-1","Ordnance and Missiles",3088640.87909264,0,203,185,NA
"INDUSTRIAL WHEELED","Facilities and Construction",144202.351250253,0,109,78,NA
"INDUSTRIAL(WHEELED)MEDIUM","Land Vehicles",79937.2783973226,0,190,114,NA
"INLAND PETROLEUM DIST SYS","Facilities and Construction",41106547.8121972,0,35,78,NA
"INSTR TRK FBM TAGM-22","Ships & Submarines",771191.195806733,0,178,131,NA
"INSTRMNTN MSL RNG-AGM-13","Ships & Submarines",5166458.96556537,0,150,131,NA
"INSTRMNTN MSL RNG-AGM-9/1","Ships & Submarines",48679.4528242274,0,220,131,NA
"INTEGRATED MET SYS SENSOR","Electronics, Comms, & Sensors",116177.434711787,0,628,376.5,NA
"INTGR FAMILY OF TEST EQUI","Aircraft",1634298.32895035,0,352,273.5,NA
"INTGR FAMILY OF TEST EQUI","Electronics, Comms, & Sensors",7857808.61661916,0,355,376.5,NA
"INTGR FAMILY OF TEST EQUI","Facilities and Construction",51351589.7079778,0,30,78,NA
"INTGR FAMILY OF TEST EQUI","Land Vehicles",6322684.05962138,0,102,114,NA
"INTGR FAMILY OF TEST EQUI","Ordnance and Missiles",115976.288051478,0,285,185,NA
"INTGR FAMILY OF TEST EQUI","Other R&D and Knowledge Based",5166340.29268849,0,39,63,NA
"IPPS-A INC 2","Electronics, Comms, & Sensors",5174001.76445987,0,397,376.5,NA
"IRST","Aircraft",20517566.413068,0,273,273.5,NA
"ISPAN","Electronics, Comms, & Sensors",1695193.91981634,0,481,376.5,NA
"ITEP","Aircraft",682794390.663022,2731177562.65209,140,59,NA
"IUS FULL SCALE DEVELOP SY","Space Systems",1782158323.94568,0,13,36.5,NA
"Integrated Strategic Planning and Analysis Network Increment 4 (ISPAN Inc 4)","Electronics, Comms, & Sensors",916677.591246472,2750032.77373941,524,54,NA
"Integrated Strategic Planning and Analysis Network Increment 4 (ISPAN Inc 4)","Other R&D and Knowledge Based",9728.74347024026,9728.74347024026,101,21,NA
"J-33","Aircraft",853762.711071065,0,372,273.5,NA
"J-52","Aircraft",466095813.363456,0,152,273.5,NA
"J-57","Aircraft",23087494.1599154,0,267,273.5,NA
"J-58","Aircraft",61536648.2766613,0,232,273.5,NA
"J-60","Aircraft",1939062.35937403,0,347,273.5,NA
"J-65","Ships & Submarines",-1860161.19248254,0,240,131,NA
"J-69","Aircraft",163758170.96681,0,196,273.5,NA
"J-75","Aircraft",13262849.7460152,0,286,273.5,NA
"J-79","Aircraft",61251347.5540519,0,233,273.5,NA
"J-85","Aircraft",910961887.646836,0,125,273.5,NA
"J9-C TANKER ACT CONV OF 7","Aircraft",337880.366313118,0,401,273.5,NA
"JADC2","Electronics, Comms, & Sensors",212916.545901326,0,599,376.5,NA
"JADC2","Facilities and Construction",1779304.76108079,0,65,78,NA
"JADC2","Other R&D and Knowledge Based",5932716.20207424,65259878.2228166,38,15,NA
"JASSM","Ordnance and Missiles",10911606353.0319,425552647768.246,6,6,"JASSM"
"JAVELIN","Ordnance and Missiles",7140290372.85558,28561161491.4223,10,11,NA
"JCALS","Electronics, Comms, & Sensors",100868137.579892,0,155,376.5,NA
"JCALS","Facilities and Construction",19146.8339188424,0,127,78,NA
"JCALS","Other R&D and Knowledge Based",10624482.7099592,0,32,63,NA
"JCC(X)","Ships & Submarines",1903812.19665955,0,167,131,NA
"JDAM","Ordnance and Missiles",10906364109.2734,534411841354.399,7,5,"JDAM"
"JLENS","Missile Defense",371512815.42879,0,31,48.5,NA
"JMPS","Electronics, Comms, & Sensors",99334201.7707115,496671008.853557,157,31,NA
"JMPS","Facilities and Construction",1738765.45745125,0,66,78,NA
"JMPS","Other Services",9301.49906137866,0,31,23,NA
"JOINT C2","Aircraft",7466109.73780476,7466109.73780476,302,82,NA
"JOINT COMMON MISSILE","Ordnance and Missiles",732212302.426065,0,49,185,NA
"JOINT TAC INFO DIST SYS/T","Electronics, Comms, & Sensors",1978624440.27893,0,17,376.5,NA
"JOINT TACTCL INF DSPLY SY","Electronics, Comms, & Sensors",37044917.4917982,0,230,376.5,NA
"JPALS","Electronics, Comms, & Sensors",120602389.30472,0,139,376.5,NA
"JPATS","Aircraft",5319408146.21748,0,53,273.5,NA
"JSF (F-35)","Aircraft",247107224613.323,78085882977810.2,2,2,"JSF (F-35)"
"JSIMS","Electronics, Comms, & Sensors",2019302.85876595,0,470,376.5,NA
"JSOW","Ordnance and Missiles",2457377803.66225,17201644625.6357,29,13,NA
"JSOW-AGM-154","Ordnance and Missiles",99678969.5440762,0,106,185,NA
"JSTARS","Aircraft",5288854879.3834,0,54,273.5,NA
"JSTARS GND STATION MODULE","Electronics, Comms, & Sensors",784878351.235574,0,35,376.5,NA
"JSTARS RECAP","Aircraft",23194.6842801118,0,442,273.5,NA
"JSTARS RECAP","Electronics, Comms, & Sensors",273179.058702056,0,586,376.5,NA
"JSTARS RECAP","Other R&D and Knowledge Based",343886.594033125,0,87,63,NA
"JT3D-3","Aircraft",202907.333390674,0,415,273.5,NA
"JT8D TURBOFAN ENGINE","Ships & Submarines",294873.118301102,0,194,131,NA
"JT8D-9","Aircraft",11366863.8589141,0,289,273.5,NA
"JTIDS (ARMY)","Electronics, Comms, & Sensors",124963.857731915,0,623,376.5,NA
"JTIDS (NAVY)","Electronics, Comms, & Sensors",84760867.9351825,254282603.805547,170,34,NA
"JTIDY (AIR FORCE)","Electronics, Comms, & Sensors",13208597.33805,0,324,376.5,NA
"JTRS AMF","Electronics, Comms, & Sensors",349148206.087181,0,75,376.5,NA
"JTRS CLUSTER 1","Electronics, Comms, & Sensors",2945042865.98428,0,9,376.5,NA
"JTRS CLUSTER 5","Electronics, Comms, & Sensors",1847573001.67989,33256314030.238,18,8,NA
"JTRS WAVEFORM","Electronics, Comms, & Sensors",803224941.988461,1606449883.97692,33,20,NA
"JTUAV","Aircraft",207309979.537959,621929938.613878,184,70,NA
"Joint Operational Medicine Information Systems (OMIS)","Electronics, Comms, & Sensors",208743761.769778,5009850282.47467,110,14,NA
"Joint Operational Medicine Information Systems (OMIS)","Facilities and Construction",113356.510069754,0,111,78,NA
"Joint Operational Medicine Information Systems (OMIS)","Other R&D and Knowledge Based",46839784.4014859,46839784.4014859,23,16,NA
"KC-10A","Aircraft",2481106895.12763,0,80,273.5,NA
"KC-135 STRATOLIFTER","Aircraft",10452793233.7377,0,26,273.5,NA
"KC-135R","Aircraft",2080608657.87374,16644869262.9899,87,45,NA
"KC-45A","Aircraft",32575899388.7581,1824250365770.45,15,8,NA
"KIOWA WARRIOR","Aircraft",3119044421.38092,65499932848.9993,72,33,NA
"KMI","Electronics, Comms, & Sensors",39751128.7220394,39751128.7220394,223,46,NA
"KMI","Facilities and Construction",1043240.92612575,0,77,78,NA
"KMI","Other R&D and Knowledge Based",2673457.59945791,2673457.59945791,60,20,NA
"Key Management Infrastructure Increment 3 (KMI Inc 3)","Electronics, Comms, & Sensors",13244338.3307541,13244338.3307541,323,50,NA
"L-188 LOCKHEED ELECTRA CO","Electronics, Comms, & Sensors",25231063.9464405,0,265,376.5,NA
"LAB PETROLEUM MODULAR BAS","Facilities and Construction",873205.043330152,0,81,78,NA
"LAB PETROLEUM MODULAR BAS","Land Vehicles",8411.58761292054,0,201,114,NA
"LACV-30 AIR CUSH VEH 25-3","Ships & Submarines",409734.671607723,0,187,131,NA
"LAMPS","Electronics, Comms, & Sensors",64477023.8757902,0,188,376.5,NA
"LAMPS MKIII (SH-60B)","Aircraft",437950379.344171,0,157,273.5,NA
"LAND COMBAT SUPT SYS (LCS","Facilities and Construction",13488226.6975566,0,41,78,NA
"LAND WARRIOR","Electronics, Comms, & Sensors",110909257.974338,0,146,376.5,NA
"LANDING CRAFT AIR CUSHION","Ships & Submarines",189108548.67173,0,60,131,NA
"LANDING CRAFT LCU","Ships & Submarines",1725934016.50761,0,28,131,NA
"LANDING SHIP DOCK-LSD","Ships & Submarines",2476460979.37655,0,24,131,NA
"LANDING SHIP MEDIUM-LSM","Ships & Submarines",-596833.740203466,0,238,131,NA
"LANDING SHIP TANK-LST","Ships & Submarines",165604871.44287,0,63,131,NA
"LANDING VEH TRACKED AMPHI","Land Vehicles",4271815.78688272,0,119,114,NA
"LANTIRN","Electronics, Comms, & Sensors",761865982.635312,0,37,376.5,NA
"LANTRIN","Electronics, Comms, & Sensors",8011442.19293569,0,350,376.5,NA
"LASER HELLFIRE","Ordnance and Missiles",4159236836.00441,8318473672.00882,16,19,NA
"LAUNCH SHIP SATELLITE-AGS","Space Systems",59617.3547799075,0,56,36.5,NA
"LAUNCHER LAU-3A","Missile Defense",-105549.37527714,0,80,48.5,NA
"LAUNCHER TNK CHASSIS M60/","Land Vehicles",-25704.2853243555,0,204,114,NA
"LAUNCHER, ROCKET 2.75","Ordnance and Missiles",10532575.6159695,0,164,185,NA
"LAV (ARMY)","Land Vehicles",292721946.003236,585443892.006472,43,16,NA
"LAV (NAVY)","Land Vehicles",4488263186.33836,22441315931.6918,11,8,NA
"LCAC","Ships & Submarines",244398015.383231,0,55,131,NA
"LCS","Ships & Submarines",25792429944.3245,3714109911982.72,5,3,"LCS"
"LGM-30 MINUTEMAN","Ordnance and Missiles",5222166424.3539,0,14,185,NA
"LHA","Ships & Submarines",6937490.2793617,0,138,131,NA
"LHA ( R )","Ships & Submarines",13307826145.9587,199617392189.381,11,7,"LHA ( R )"
"LHD 1","Ships & Submarines",830616815.127046,4153084075.63523,33,12,NA
"LIFT MJ-1B","Aircraft",316648.125831421,0,408,273.5,NA
"LIFT MJ-1B","Facilities and Construction",121717.419574254,0,110,78,NA
"LIGHT ARMORED VEHICLE (LA","Land Vehicles",588152431.242502,0,30,114,NA
"LLLBGK","Aircraft",320560.779571529,0,406,273.5,NA
"LMP","Electronics, Comms, & Sensors",1194117.59925816,0,502,376.5,NA
"LMP","Land Vehicles",5330146.54318264,0,107,114,NA
"LNT 5/ INERT NAV AID","Electronics, Comms, & Sensors",174940.001573494,0,610,376.5,NA
"LOADER A/C 25K","Facilities and Construction",55550205.7965502,0,29,78,NA
"LOADER A/C 40K","Aircraft",771082.635790407,0,377,273.5,NA
"LOADER A/C 40K","Land Vehicles",798659.125889527,0,154,114,NA
"LOADER A/C 40K","Ordnance and Missiles",643102.083720295,0,253,185,NA
"LOADER A/C 40K","Other Products",113526.678508848,0,43,31.5,NA
"LOADER SCOOP TYPE 4-6 CU","Land Vehicles",15118391.2140683,0,80,114,NA
"LONGBOW APACHE","Aircraft",2610652106.79137,0,78,273.5,NA
"LONGBOW APACHE BLK III","Aircraft",8620401411.02752,862040141102.752,35,13,NA
"LONGBOW HELLFIRE","Ordnance and Missiles",803139885.500409,0,48,185,NA
"LOW BED 52 1/2 TON M747","Land Vehicles",1470934.20528049,0,142,114,NA
"LOW SPEED(FT)DIESEL MEDIU","Land Vehicles",12065891.2669647,0,88,114,NA
"LPD 17","Ships & Submarines",19113581466.3309,172022233196.978,8,8,NA
"LSD 41 CARGO VAR","Ships & Submarines",4332.30125786927,0,226,131,NA
"LSD-41","Ships & Submarines",335216.142128893,0,190,131,NA
"LTAMDS","Missile Defense",15743288948.4801,251892623175.682,5,6,"LTAMDS"
"LTH TRAINER","Other Products",8552816.43094781,0,12,31.5,NA
"LUH","Aircraft",4670644489.54521,42035800405.9068,60,37,NA
"LVTC-7","Land Vehicles",329437674.242153,0,40,114,NA
"LVTP-7","Land Vehicles",935722046.477346,0,22,114,NA
"LW MAN-TRANSP RADIO DIR F","Electronics, Comms, & Sensors",4749573.9927072,0,404,376.5,NA
"M 32-60A","Aircraft",3933176.13266359,0,326,273.5,NA
"M 32-60A","Electronics, Comms, & Sensors",1162445.72951434,0,507,376.5,NA
"M 32-60A","Land Vehicles",135152.146525247,0,180,114,NA
"M-1 COMBAT 105MM GUN (ABR","Land Vehicles",5134703910.53209,0,10,114,NA
"M-12 (AIMS) IFF","Electronics, Comms, & Sensors",22076738.070667,0,280,376.5,NA
"M-2 IFV (BRADLEY)","Land Vehicles",3438828427.85847,0,14,114,NA
"M-3 CFV (BRADLEY)","Land Vehicles",4989893.94182687,0,110,114,NA
"M-48 TANK","Land Vehicles",12916059.5358652,0,85,114,NA
"M-551 RANGE FINDER LASER","Land Vehicles",6991740.51324124,0,101,114,NA
"M-60 COMBAT 105MM GUN","Land Vehicles",450184845.638216,0,34,114,NA
"M-60 COMBAT 152MM GUN","Land Vehicles",336711.518186859,0,169,114,NA
"M-728 COMBAT","Ordnance and Missiles",955875.685466691,0,245,185,NA
"M-77 DRAGON","Missile Defense",48025719.8246016,0,43,48.5,NA
"M-81 FIRE CONTROL SYSTEM","Electronics, Comms, & Sensors",40319165.2961254,0,222,376.5,NA
"M-857 SEMI-TRAILER","Land Vehicles",183743159.185307,0,46,114,NA
"M-X CMD CTRL & COMM SYS","Electronics, Comms, & Sensors",-1242440.55574936,0,687,376.5,NA
"M1/M1A1 ABRAMS TANK","Land Vehicles",5417718503.14386,48759466528.2948,9,7,"M1/M1A1 ABRAMS TANK"
"M101A1 105MM LT TOWED HOW","Ordnance and Missiles",4292775.52046083,0,191,185,NA
"M102 105MM LT TOWED HOW","Land Vehicles",4487426.55863771,0,117,114,NA
"M107 GUN 175MM","Ordnance and Missiles",-168879.000443424,0,318,185,NA
"M109 155MM MED SP HOW","Land Vehicles",619943601.673571,0,29,114,NA
"M109 155MM SP HOWITZER","Land Vehicles",45014154.5606752,0,59,114,NA
"M110 8'' SP HOWITZER","Land Vehicles",15068917.0562552,0,81,114,NA
"M114A2 155MM TOWED HOW","Ordnance and Missiles",50154.8147021309,0,304,185,NA
"M128 MINE DISPENSER","Ordnance and Missiles",159618.030521237,0,275,185,NA
"M14 7.62 MM RIFLE","Ordnance and Missiles",10377461.6130466,0,165,185,NA
"M16 5.56 MM RIFLE","Ordnance and Missiles",442835978.168149,0,63,185,NA
"M198 155MM TOWED HOW","Ordnance and Missiles",35997971.4635897,0,129,185,NA
"M198 TOWED HOWITZER (155M","Ordnance and Missiles",134368822.646346,940581758.524421,92,27,NA
"M1A2 UPGRADE","Land Vehicles",471552058.532808,0,32,114,NA
"M483 155MM PROJECTILE","Ordnance and Missiles",30865140.7015471,0,132,185,NA
"M509 8"" DPICM","Ordnance and Missiles",17421458.8648305,0,148,185,NA
"M60 TANK","Other Products",62039686.5464908,0,6,31.5,"M60 TANK"
"M60A2 TANK","Land Vehicles",21171469.1727281,0,73,114,NA
"M650 E5 8""","Ordnance and Missiles",151607.284488983,0,278,185,NA
"M712 155MM","Ordnance and Missiles",-1982278.49563268,0,324,185,NA
"M718/M741 ISS MM AT","Ordnance and Missiles",22930209.8476245,0,142,185,NA
"M731/M692 155MM","Ordnance and Missiles",5313974.28532082,0,180,185,NA
"M735 PROJECTILE","Ordnance and Missiles",-49896.0683128299,0,313,185,NA
"M739","Ordnance and Missiles",2180680.34216038,0,217,185,NA
"M825 155MM SMOKE SCREENIN","Ordnance and Missiles",3631089.90338874,0,197,185,NA
"M871 22.5 TON","Land Vehicles",104830671.484812,0,54,114,NA
"M872 34 TON","Land Vehicles",37992262.9634767,0,61,114,NA
"M88A2 Heavy Equipment Recovery Combat Utility Lift Evacuation System (M88A2 HERCULES)","Land Vehicles",134666197.377851,673330986.889253,47,15,NA
"M89","Electronics, Comms, & Sensors",80936472.6488041,161872945.297608,175,36,NA
"M89","Other R&D and Knowledge Based",4198813.67037055,0,46,63,NA
"MAC C3 SUPPORT","Electronics, Comms, & Sensors",394205979.222315,0,66,376.5,NA
"MACC2IPS","Electronics, Comms, & Sensors",4795779.79668316,0,403,376.5,NA
"MANEUVER CONTROL SYSTEM (","Aircraft",17888972.9889995,0,281,273.5,NA
"MANEUVER CONTROL SYSTEM (","Electronics, Comms, & Sensors",134350.131514424,0,618,376.5,NA
"MANEUVER CONTROL SYSTEM (","Ships & Submarines",2026429.2396599,0,166,131,NA
"MARK XII PROGRAM","Electronics, Comms, & Sensors",119033301.962276,0,141,376.5,NA
"MASK PROTECTIVE FIELD ABC","Facilities and Construction",57561817.0950119,0,28,78,NA
"MASK, AIRCREW (M43/M43A1/","Facilities and Construction",6326120.42104585,0,49,78,NA
"MASK, PROTECTIVE NBC ALL","Facilities and Construction",108349859.432984,0,23,78,NA
"MATCALS","Electronics, Comms, & Sensors",12051221.8666007,0,332,376.5,NA
