"Project.Name","PlatformPortfolio","agg_val","agg_val_recent","TopProjectTest_rank_total","TopProjectTest_rank_recent","TopProjectTest"
"INTGR FAMILY OF TEST EQUI","Land Vehicles",6322684.05962138,0,102,110,NA
"AN/GXC-7","Electronics, Comms, & Sensors",6319987.44015589,0,377,361,NA
"SICBM SM INT BALL MSL","Other R&D and Knowledge Based",6319230.27401883,0,36,59.5,NA
"RIM-85","Missile Defense",6310191.66037576,0,62,46,NA
"TA-4 SKYHAWK","Aircraft",6308680.6209977,0,309,252.5,NA
"C-121 WARNING STAR","Electronics, Comms, & Sensors",6294866.36714835,0,378,361,NA
"RV-1","Other Services",6294598.74592559,0,16,20,NA
"C-45 EXPEDITOR","Aircraft",6267960.87034978,0,310,252.5,NA
"BOAT BRIDGE ERECT DE 27 F","Land Vehicles",6255009.1743254,0,103,110,NA
"AN/PPS-5 RADAR PORTABLE","Missile Defense",6175923.55660881,0,63,46,NA
"E-2C","Aircraft",6145288.57807424,0,311,252.5,NA
"SAFEGUARD","Ships & Submarines",6119274.65562183,0,146,128.5,NA
"30MM GUN MOUNT/COASTAL PT","Ordnance and Missiles",6116002.40843321,0,175,177.5,NA
"CNY","Other R&D and Knowledge Based",6047827.83918064,0,37,59.5,NA
"OH-6 CAYUSE","Aircraft",6029375.84237455,0,312,252.5,NA
"AIRBORNE ECM/ECCM NKC-135","Aircraft",6021468.74470852,0,313,252.5,NA
"F-10 SKY KNIGHT","Aircraft",6008753.78918645,0,314,252.5,NA
"AN/APQ-113 ATTACK","Electronics, Comms, & Sensors",5968868.43180975,0,379,361,NA
"VOLCANO MINES","Ordnance and Missiles",5949846.63915,0,176,177.5,NA
"1DBR","Land Vehicles",5946720.46577739,0,104,110,NA
"JADC2","Other R&D and Knowledge Based",5932716.20207424,1983152.1359472,38,13,NA
"IAA","Electronics, Comms, & Sensors",5910310.60591847,0,380,361,NA
"X-19","Aircraft",5902793.87774609,0,315,252.5,NA
"CRANE 5 TON 3/8 CU YD","Land Vehicles",5901585.70962971,0,105,110,NA
"AHP","Aircraft",5892992.89703043,0,316,252.5,NA
"RQ-7B Shadow Tactical Unmanned Aircraft System (RQ-7B Shadow)","Other Products",5887258.70886093,5887258.70886093,19,3,"RQ-7B Shadow Tactical Unmanned Aircraft System (RQ-7B Shadow)"
"AN/TVQ-2 LASER DESIGNATOR","Facilities and Construction",5880382.42896782,0,51,77,NA
"SIGNALS ALL TYPES","Ordnance and Missiles",5824567.13774942,0,177,177.5,NA
"QM-107 GD MSL TGT SYS","Electronics, Comms, & Sensors",5775068.09373352,0,381,361,NA
"TRANSPORT AUXILARY ACFT-A","Ships & Submarines",5723702.35601396,0,147,128.5,NA
"CX-2","Ordnance and Missiles",5721746.5891464,0,178,177.5,NA
"AN/ALR-45","Electronics, Comms, & Sensors",5720786.44755114,0,382,361,NA
"AN/GRC-142/122 RADIO","Electronics, Comms, & Sensors",5616133.65385544,0,383,361,NA
"AN/FRT-84 TRANSMITTER","Facilities and Construction",5610945.14483551,0,52,77,NA
"ASF","Electronics, Comms, & Sensors",5583352.61476061,0,384,361,NA
"ACM","Aircraft",5577867.504942,0,317,252.5,NA
"AN/BLR-14 ECM","Electronics, Comms, & Sensors",5560590.26022328,0,385,361,NA
"BSU-50 AIR INFLATE RETARD","Ordnance and Missiles",5550700.28749088,0,179,177.5,NA
"SIGNAL GENERATOR 2.0-18.0","Electronics, Comms, & Sensors",5518493.56470852,0,386,361,NA
"ATARS","Electronics, Comms, & Sensors",5516817.73954354,0,387,361,NA
"METEOROLOGICAL MEASURING","Electronics, Comms, & Sensors",5487184.01352442,0,388,361,NA
"AN/ARQ-33 QUICK FIX","Electronics, Comms, & Sensors",5485799.87596101,0,389,361,NA
"AN/UYH/K-3 MEMORY UNITS","Electronics, Comms, & Sensors",5474855.29843484,0,390,361,NA
"AN/SLQ-17","Other Products",5428827.27357879,0,20,31.5,NA
"CRASH P-2","Land Vehicles",5419741.73561832,0,106,110,NA
"PKI","Electronics, Comms, & Sensors",5362894.10908599,0,391,361,NA
"CRUISER LIGHT GD MISSILE-","Ships & Submarines",5344034.41105108,0,148,128.5,NA
"LMP","Land Vehicles",5330146.54318264,0,107,110,NA
"485L TAC AIR CTRL SYS","Electronics, Comms, & Sensors",5327961.22612044,0,392,361,NA
"M731/M692 155MM","Ordnance and Missiles",5313974.28532082,0,180,177.5,NA
"20MM GUN XM163","Ordnance and Missiles",5309281.77433499,0,181,177.5,NA
"MULTI SYS TEST EQUIP (MTE","Electronics, Comms, & Sensors",5305365.79758382,0,393,361,NA
"AGM-62/A WALLEYE","Electronics, Comms, & Sensors",5298536.01846541,0,394,361,NA
"AN/UPR-2","Electronics, Comms, & Sensors",5284518.64576653,0,395,361,NA
"SACDIN","Electronics, Comms, & Sensors",5274383.88200784,0,396,361,NA
"MSE","Ordnance and Missiles",5273661.29767711,0,182,177.5,NA
"2B-31 SYN FLGT TRN CHINOO","Aircraft",5273473.74072012,0,318,252.5,NA
"ERINT","Missile Defense",5230306.69612613,0,64,46,NA
"VH-80N EXECUTIVE HELICOPT","Aircraft",5188733.31146948,0,319,252.5,NA
"IPPS-A INC 2","Electronics, Comms, & Sensors",5174001.76445987,0,397,361,NA
"FUEL BARGE NON-SELF PROP","Ships & Submarines",5167253.63086165,0,149,128.5,NA
"INSTRMNTN MSL RNG-AGM-13","Ships & Submarines",5166458.96556537,0,150,128.5,NA
"INTGR FAMILY OF TEST EQUI","Other R&D and Knowledge Based",5166340.29268849,0,39,59.5,NA
"CARGO 3/4 TON M101","Land Vehicles",5164139.38233332,0,108,110,NA
"BARGE SHIP WASTE","Ships & Submarines",5152972.89590196,0,151,128.5,NA
"AWADS FOR C-130","Electronics, Comms, & Sensors",5138950.50260926,0,398,361,NA
"5.56MM AMMUNITION ALL TYP","Ordnance and Missiles",5124575.41629681,0,183,177.5,NA
"DESTROYER GD MSL MODULE-D","Ships & Submarines",5119285.24874193,0,152,128.5,NA
"EDK","Ordnance and Missiles",5097879.33487852,0,184,177.5,NA
"SFF","Ships & Submarines",5063251.40471275,0,153,128.5,NA
"AN/ALQ-153 TAIL WARNING S","Electronics, Comms, & Sensors",5062458.90157425,0,399,361,NA
"BRADLEY, INFANTRY FT VEH","Land Vehicles",5027635.51310688,0,109,110,NA
"AH-64E New Build","Other R&D and Knowledge Based",5009406.75157773,400269.805907342,40,14,NA
"M-3 CFV (BRADLEY)","Land Vehicles",4989893.94182687,0,110,110,NA
"GTN-21","Other R&D and Knowledge Based",4988178.39519932,0,41,59.5,NA
"C-20 GULFSTREAM III/IV","Aircraft",4985961.90532116,0,320,252.5,NA
"ATCCS-CHS","Electronics, Comms, & Sensors",4952187.2537902,0,400,361,NA
"AN/WSN-1 (V)","Electronics, Comms, & Sensors",4940206.17470282,0,401,361,NA
"TANK FUEL 5,000 GAL XM438","Land Vehicles",4924961.95556584,0,111,110,NA
"8 INCH HE","Land Vehicles",4903832.92775481,0,112,110,NA
"CHCS II","Facilities and Construction",4892789.55551515,0,53,77,NA
"AN/ALQ-125 TEREC","Electronics, Comms, & Sensors",4878630.57787582,0,402,361,NA
"TANK LIQUID NITROGEN C-5","Land Vehicles",4852188.12384406,0,113,110,NA
"AN/MLQ-34 COUNTERMEASURES","Other Services",4833915.49240868,4833915.49240868,17,3,"AN/MLQ-34 COUNTERMEASURES"
"MACC2IPS","Electronics, Comms, & Sensors",4795779.79668316,0,403,361,NA
"UGM-27 POLARIS","Missile Defense",4793711.59738134,0,65,46,NA
"CRANE HYDRAULIC 25 TON (C","Land Vehicles",4757221.36216645,0,114,110,NA
"LW MAN-TRANSP RADIO DIR F","Electronics, Comms, & Sensors",4749573.9927072,0,404,361,NA
"AN/BQR-7 SONAR","Electronics, Comms, & Sensors",4746225.38091604,0,405,361,NA
"AN/TSC-75 COMM CENTRAL","Electronics, Comms, & Sensors",4733597.54043012,0,406,361,NA
"AFAS (PRE-MS I) 155MM SP","Land Vehicles",4727412.13519554,0,115,110,NA
"GHI","Electronics, Comms, & Sensors",4715695.51027727,0,407,361,NA
"GAV","Electronics, Comms, & Sensors",4713897.65268838,0,408,361,NA
"TANK (FUEL SVC) M131 SEMI","Land Vehicles",4703103.71077533,0,116,110,NA
"FMU-124","Ordnance and Missiles",4665708.84832938,0,185,177.5,NA
"105MM ART AMMUNITION ALL","Ordnance and Missiles",4655476.14556209,0,186,177.5,NA
"ARE","Other R&D and Knowledge Based",4652698.17101918,0,42,59.5,NA
"AN/MPS-T1 RADAR CONTROL V","Missile Defense",4636637.9491601,0,66,46,NA
"AN/ALR-31 ELEC COUNTERMEA","Electronics, Comms, & Sensors",4626989.11983289,0,409,361,NA
"HARM (NAVY)","Ordnance and Missiles",4621697.22472136,0,187,177.5,NA
"AF INT COM CTRL SYS","Facilities and Construction",4567600.26633768,0,54,77,NA
"RADIATION MONITORING SYST","Ordnance and Missiles",4536315.59250397,0,188,177.5,NA
"OV-10 LARA (NOW BRONCO)","Aircraft",4516908.88706053,0,321,252.5,NA
"NAVY EPS","Other R&D and Knowledge Based",4506390.61634107,-96513.7890618368,43,103,NA
"XV-6","Electronics, Comms, & Sensors",4500956.21456917,0,410,361,NA
"M102 105MM LT TOWED HOW","Land Vehicles",4487426.55863771,0,117,110,NA
"AN/VPS-2 RADAR SET","Ordnance and Missiles",4475167.24913088,0,189,177.5,NA
"CRU-99A OBOGS OXYGEN MONI","Aircraft",4472301.40704061,0,322,252.5,NA
"HEATER H-1","Facilities and Construction",4467476.34884094,0,55,77,NA
"TR-155 BQ TRANSDUCER ELEM","Ships & Submarines",4417730.21010528,0,154,128.5,NA
"DELTA II BOOSTER PROGRAM","Space Systems",4387015.85242805,0,47,34,NA
"SPACE FENCE INC 1","Electronics, Comms, & Sensors",4379546.03542582,4233040.18839296,411,23,NA
"AUTODIN","Electronics, Comms, & Sensors",4367435.11333918,0,412,361,NA
"SIMP TEST EQMT - INT COMB","Land Vehicles",4366504.10884749,0,118,110,NA
"CNU","Ordnance and Missiles",4365043.52833786,0,190,177.5,NA
"TD-660 MULTIPLEXER","Electronics, Comms, & Sensors",4344783.85857745,0,413,361,NA
"Other UAS","Space Systems",4322876.15353752,0,48,34,NA
"AN/TYQ-2 TAOC","Electronics, Comms, & Sensors",4319522.52827971,0,414,361,NA
"M101A1 105MM LT TOWED HOW","Ordnance and Missiles",4292775.52046083,0,191,177.5,NA
"NV LASER SYSTEMS","Electronics, Comms, & Sensors",4289857.44933699,0,415,361,NA
"T-41 MESCALERO","Aircraft",4285053.27659492,0,323,252.5,NA
"AFU","Aircraft",4279572.57661855,0,324,252.5,NA
"CVN-68","Ships & Submarines",4272809.88431765,0,155,128.5,NA
"LANDING VEH TRACKED AMPHI","Land Vehicles",4271815.78688272,0,119,110,NA
"AN/PRC-104","Electronics, Comms, & Sensors",4271754.7053456,0,416,361,NA
"AN/FSA-52 COMM CTRL EQUIP","Electronics, Comms, & Sensors",4270468.67244733,0,417,361,NA
"CIRCM","Ordnance and Missiles",4267344.03523595,-881373.96476405,192,327,NA
"PKI","Other R&D and Knowledge Based",4255272.69621398,0,44,59.5,NA
"AAG","Aircraft",4225948.56746756,0,325,252.5,NA
"DEAMS","Other R&D and Knowledge Based",4214741.61094221,0,45,59.5,NA
"MLS","Electronics, Comms, & Sensors",4209790.12929762,0,418,361,NA
"IMDS","Electronics, Comms, & Sensors",4204513.12708871,37127.7457145364,419,37,NA
"M89","Other R&D and Knowledge Based",4198813.67037055,0,46,59.5,NA
"MBT-70 152MM GUN","Land Vehicles",4189333.94363205,0,120,110,NA
"COMPASS EARS","Electronics, Comms, & Sensors",4185163.44827919,0,420,361,NA
"MISSION DISTRIBUTION SYS","Other R&D and Knowledge Based",4184702.55865085,0,47,59.5,NA
"DMLSS","Electronics, Comms, & Sensors",4173778.40698354,0,421,361,NA
"AN/GRC-171 TRANSCEIVER","Electronics, Comms, & Sensors",4142525.482429,0,422,361,NA
"FORCE PROVIDER","Electronics, Comms, & Sensors",4142407.93761784,0,423,361,NA
"NCES","Missile Defense",4106513.86199178,0,67,46,NA
"AN/ALQ-136 COUNTERMEASURES","Electronics, Comms, & Sensors",4078244.45481658,0,424,361,NA
"MULTI SYS TEST EQUIP (MTE","Other R&D and Knowledge Based",4058039.06324905,0,48,59.5,NA
"CBT FEEDING CLOTHING & EQ","Other Products",4039991.09196577,0,21,31.5,NA
"AIR CONDITIONERS","Facilities and Construction",4012506.28183039,0,56,77,NA
"5./54 MK-41 PROJECTILE","Electronics, Comms, & Sensors",4008768.71014473,0,425,361,NA
"TANK WATER 4,000 GAL M149","Land Vehicles",3997191.26212247,0,121,110,NA
"81MM M374 HE CARTRIDGE","Ordnance and Missiles",3952734.83733712,0,193,177.5,NA
"CARGO SHIP LIGHT-AKL","Ships & Submarines",3947667.16746444,0,156,128.5,NA
"DEMOLITION MUNITIONS ALL","Facilities and Construction",3942362.93757601,0,57,77,NA
"GAU-5 MACHINE GUN","Ordnance and Missiles",3937568.09398631,0,194,177.5,NA
"M 32-60A","Aircraft",3933176.13266359,0,326,252.5,NA
"ABH","Electronics, Comms, & Sensors",3929305.14191138,0,426,361,NA
"DIMHRS","Facilities and Construction",3920092.610463,0,58,77,NA
"ES-3A VIKING","Aircraft",3883139.91683089,0,327,252.5,NA
"AN/ASM-146 AIR COND SHELT","Electronics, Comms, & Sensors",3870591.58804298,0,427,361,NA
"485L TAC AIR CTRL SYS","Aircraft",3813623.94629622,0,328,252.5,NA
"FWD AREA AD CMD,CTRL&INT","Other R&D and Knowledge Based",3796938.57161018,0,49,59.5,NA
"SURVEYING SHIP COASTAL-AG","Ships & Submarines",3796136.22489794,0,157,128.5,NA
"WALLEYE","Ordnance and Missiles",3790655.52186612,0,195,177.5,NA
"483","Electronics, Comms, & Sensors",3777292.07039448,0,428,361,NA
"AN/FSC-78","Electronics, Comms, & Sensors",3737297.53364925,0,429,361,NA
"1FNC","Ordnance and Missiles",3633018.30601093,0,196,177.5,NA
"M825 155MM SMOKE SCREENIN","Ordnance and Missiles",3631089.90338874,0,197,177.5,NA
"(ALMSC)","Land Vehicles",3628275.03961165,0,122,110,NA
"SSC","Ships & Submarines",3624741.88533235,1721508.38285557,158,13,NA
"AN/URD-4","Electronics, Comms, & Sensors",3610929.01241163,0,430,361,NA
"RQ-7B Shadow Tactical Unmanned Aircraft System (RQ-7B Shadow)","Other R&D and Knowledge Based",3608987.5062873,0,50,59.5,NA
"SUBMARINE CHASER (110 FT)","Ships & Submarines",3601407.19858453,0,159,128.5,NA
"BSM ENERGY","Other R&D and Knowledge Based",3539969.85406503,0,51,59.5,NA
"AGM-154B","Ordnance and Missiles",3539564.90018869,0,198,177.5,NA
"AN/VRC-67 RADIO TERMINAL","Electronics, Comms, & Sensors",3520947.42866886,0,431,361,NA
"81MM MORTAR","Ordnance and Missiles",3499070.45416175,0,199,177.5,NA
"STD ARMY CND & CTRL SYS S","Electronics, Comms, & Sensors",3485300.53176185,0,432,361,NA
"AIR CARGO MATERIALS HAND","Facilities and Construction",3460456.81763202,0,59,77,NA
"CONTAINER EXPANDABLE SHEL","Facilities and Construction",3459003.43703939,0,60,77,NA
"RESEARCH SHIP ESCORT-AGDE","Ships & Submarines",3448367.26796036,0,160,128.5,NA
"GAE","Electronics, Comms, & Sensors",3438299.85526418,0,433,361,NA
"MOBILE ARRESTING BARRIERS","Aircraft",3436215.67744578,0,329,252.5,NA
"ARMY WWMCCS INFO SYS","Electronics, Comms, & Sensors",3416152.97162068,0,434,361,NA
"C-117 SKYTRAIN","Aircraft",3407553.08185784,0,330,252.5,NA
"ROCKEYE","Ordnance and Missiles",3405708.62292776,0,200,177.5,NA
"AN/DLQ-3B ECM SET","Electronics, Comms, & Sensors",3398678.97879666,0,435,361,NA
"AIR TRAFFIC CNTL COMM CON","Other R&D and Knowledge Based",3397182.29928307,0,52,59.5,NA
"SIDWINGER (AIM-9M) (AF)","Ordnance and Missiles",3388570.3698641,0,201,177.5,NA
"MODERNIZATION","Electronics, Comms, & Sensors",3362151.80640062,0,436,361,NA
"AN/TPS-32","Electronics, Comms, & Sensors",3348931.01818675,0,437,361,NA
"9MM AMMUNITION ALL TYPES","Ordnance and Missiles",3346664.00895695,0,202,177.5,NA
"TANK WATER 400 GAL M149 T","Land Vehicles",3346246.6076721,0,123,110,NA
"C-20 ACFT","Aircraft",3343196.8379783,0,331,252.5,NA
"CHEYENNE","Aircraft",3341266.66607624,0,332,252.5,NA
"H-51","Aircraft",3320904.94787456,0,333,252.5,NA
"COMMANCHE","Aircraft",3296260.22779638,0,334,252.5,NA
"AN/WSC-28 SAT COMM","Electronics, Comms, & Sensors",3256823.11598146,0,438,361,NA
"CNS","Other R&D and Knowledge Based",3204497.29030318,0,53,59.5,NA
"125/250 AIR CONDITIONING","Ships & Submarines",3202657.103416,0,161,128.5,NA
"GAJ","Electronics, Comms, & Sensors",3177725.90629023,0,439,361,NA
"AN/ASM-147 AIR COND SHELT","Electronics, Comms, & Sensors",3168780.73551634,0,440,361,NA
"EDK","Land Vehicles",3130749.49787206,0,124,110,NA
"DKE","Land Vehicles",3109726.62767997,0,125,110,NA
"IMPULSE ARD-863-1","Ordnance and Missiles",3088640.87909264,0,203,177.5,NA
"DEAMS Inc 1","Ordnance and Missiles",3075013.70891519,0,204,177.5,NA
"H-19 CHICSASAW","Aircraft",3072281.23484989,0,335,252.5,NA
"VEHICLES","Land Vehicles",3064743.91671241,0,126,110,NA
"B-1 CMUP-DSUP","Aircraft",3064060.60237167,0,336,252.5,NA
"AN/TLQ-17 COUNTERMEASURES","Electronics, Comms, & Sensors",3053839.94289526,0,441,361,NA
"AHK","Other R&D and Knowledge Based",3038374.71987326,0,54,59.5,NA
"FWD AREA AD CMD,CTRL&INT","Electronics, Comms, & Sensors",3035632.5057951,0,442,361,NA
"NON-SYSTEM TRAINING DEVIC","Electronics, Comms, & Sensors",2999460.38716529,0,443,361,NA
"DMLSS","Other R&D and Knowledge Based",2993240.26745445,0,55,59.5,NA
"SUBMARINE SS GUPPY III","Ships & Submarines",2976546.2482861,0,162,128.5,NA
"TOW FLIGHTLINE","Facilities and Construction",2971293.34864588,0,61,77,NA
"NON-SYSTEM TRAINING DEVIC","Other R&D and Knowledge Based",2963375.78031961,0,56,59.5,NA
"MK-57 MINE SUB LAID MOORE","Ordnance and Missiles",2960126.29205307,0,205,177.5,NA
"P-2 NEPTUNE","Aircraft",2934003.45750745,0,337,252.5,NA
"81MM AMMUNITION ALL TYPES","Ordnance and Missiles",2923800.57166155,0,206,177.5,NA
"AN/PSW-1","Electronics, Comms, & Sensors",2923072.8399507,0,444,361,NA
"O-2","Aircraft",2899101.78845417,0,338,252.5,NA
"REMOTE SENSING CHEM AGENT","Other R&D and Knowledge Based",2893594.99091395,0,57,59.5,NA
"CBDP","Other R&D and Knowledge Based",2862505.56372402,0,58,59.5,NA
"HFAJ","Electronics, Comms, & Sensors",2859206.97768625,0,445,361,NA
"CARRIER M113-TOW","Land Vehicles",2837283.23829086,0,127,110,NA
"GNW","Electronics, Comms, & Sensors",2827068.90624468,0,446,361,NA
"81MM SMOKE XM819","Ordnance and Missiles",2821046.93922539,0,207,177.5,NA
"105MM GUN M-60 COMBAT","Ordnance and Missiles",2803438.92280707,0,208,177.5,NA
"MK86 GUN FIRE CTRL SYS","Ordnance and Missiles",2774155.48086709,0,209,177.5,NA
"NCES","Other R&D and Knowledge Based",2740783.29046911,0,59,59.5,NA
"CAS","Facilities and Construction",2732769.27990269,0,62,77,NA
"STATUS OF FORCES AGREEMENT","Other Services",2728732.15147227,662404.364269954,18,4,"STATUS OF FORCES AGREEMENT"
"BRIDGE (ARMORED VEH LAUNC","Land Vehicles",2709022.90749802,0,128,110,NA
"MORTAR FIRE CTRL SYSTEM","Ordnance and Missiles",2698453.01904969,0,210,177.5,NA
"KMI","Other R&D and Knowledge Based",2673457.59945791,141352.696261974,60,16,NA
"3/4 TON 4X4 ALL BDY TYPES","Land Vehicles",2657428.36832214,0,129,110,NA
"2 1/2 TON 8X8 XM410","Land Vehicles",2646410.70013048,0,130,110,NA
"AN/TGC-37 COMM CENTRAL","Electronics, Comms, & Sensors",2640593.47160245,0,447,361,NA
"CDL","Electronics, Comms, & Sensors",2623285.07822021,0,448,361,NA
"PKI INC 2","Facilities and Construction",2619706.77960455,0,63,77,NA
"AN/BQS-4","Electronics, Comms, & Sensors",2605966.89256635,0,449,361,NA
"AIRCOM SPACECOM","Electronics, Comms, & Sensors",2602854.25696107,0,450,361,NA
"CRANE RT SP 7 1/21","Ships & Submarines",2592334.39678922,0,163,128.5,NA
"X-22","Other R&D and Knowledge Based",2561867.49924203,0,61,59.5,NA
"AN/GRC-103 RADIO","Electronics, Comms, & Sensors",2552394.03838849,0,451,361,NA
"MK-55 MINE","Ordnance and Missiles",2545772.63754337,0,211,177.5,NA
"ZAGM-63","Ordnance and Missiles",2543531.92345589,0,212,177.5,NA
"AN/APN-159 BOMB NAV & FR","Electronics, Comms, & Sensors",2527941.87814386,0,452,361,NA
"S-3A","Aircraft",2507559.79823415,0,339,252.5,NA
"ESS-DIGIT EURO BACK COMMU","Electronics, Comms, & Sensors",2493408.71508456,0,453,361,NA
"2GRB","Electronics, Comms, & Sensors",2492291.54492651,0,454,361,NA
"AN/TRN-28","Electronics, Comms, & Sensors",2487810.3842088,0,455,361,NA
"DRAMA","Electronics, Comms, & Sensors",2471958.61436379,0,456,361,NA
"IMDS","Land Vehicles",2464410.90278233,0,131,110,NA
"ATACMS-APAM","Ordnance and Missiles",2458213.0705026,6232.11861123038,213,30,NA
"AN/GYK-3 (V)","Other R&D and Knowledge Based",2456387.39312178,0,62,59.5,NA
"AN/ALQ-123","Electronics, Comms, & Sensors",2444490.96268141,0,457,361,NA
"AN/ARN-52 TACAN","Electronics, Comms, & Sensors",2443608.34434768,0,458,361,NA
"AUTO TEST SYSTEM A15/DQ/G","Aircraft",2422245.0084909,0,340,252.5,NA
"X-22","Electronics, Comms, & Sensors",2407736.660548,0,459,361,NA
"ATS","Facilities and Construction",2376343.24366957,0,64,77,NA
"375","Ships & Submarines",2361430.4790966,0,164,128.5,NA
"AN/GRT-21/22","Electronics, Comms, & Sensors",2349795.79919668,0,460,361,NA
"C-3 INERT NAVIG EQUIP","Electronics, Comms, & Sensors",2323486.00304449,0,461,361,NA
"AH-64E New Build","Electronics, Comms, & Sensors",2304462.72656988,2304462.72656988,462,26,NA
"Family Med Tact Veh (FMTV","Land Vehicles",2275828.17291576,0,132,110,NA
"STATUS OF FORCES AGREEMENT","Land Vehicles",2261214.23745449,284403.600780023,133,10,NA
"VO-540","Aircraft",2260033.73526406,0,341,252.5,NA
"20MM XM167 TOWED","Ordnance and Missiles",2245300.02423552,0,214,177.5,NA
"7.62MM M-240 MACHINE GUN","Ordnance and Missiles",2228965.19312496,0,215,177.5,NA
"AN/GVS-5 RANGE FINDER LAS","Electronics, Comms, & Sensors",2217706.29068005,0,463,361,NA
"HMMWV","Land Vehicles",2217492.05264667,0,134,110,NA
"AN/APQ-103","Electronics, Comms, & Sensors",2216097.69670075,0,464,361,NA
"MIM-14 NIKE HERCULES","Ordnance and Missiles",2191889.72429663,0,216,177.5,NA
"M739","Ordnance and Missiles",2180680.34216038,0,217,177.5,NA
"GFD","Electronics, Comms, & Sensors",2161999.22833943,0,465,361,NA
"DNC","Aircraft",2157036.62172506,0,342,252.5,NA
"AN/ALQ-151 COUNTERMEASURE","Electronics, Comms, & Sensors",2121501.95380939,0,466,361,NA
"MULTIPLE LAUNCH ROCKET SY","Ordnance and Missiles",2111118.2975141,0,218,177.5,NA
"485L TAC AIR CTRL SYS","Other Products",2097759.13537335,0,22,31.5,NA
"MINESWEEPER SPECIAL-MSS","Ships & Submarines",2095922.73107143,0,165,128.5,NA
"CARGO 1 TON 4X4 M601","Land Vehicles",2076753.11505607,0,135,110,NA
"ADVANCED CRUISE MISSILE","Ordnance and Missiles",2069389.75157097,0,219,177.5,NA
"494L ERCS EMERG RKT COMM","Electronics, Comms, & Sensors",2055726.52805534,0,467,361,NA
"GUIDED MISSILE SHIP-AVM","Ordnance and Missiles",2051754.03625348,0,220,177.5,NA
"AN/TSQ-114","Electronics, Comms, & Sensors",2050989.22721196,0,468,361,NA
"E-1 TRACER","Aircraft",2049975.51438467,0,343,252.5,NA
"BAT FLD CMBT ID SYS - NEAR TRM","Electronics, Comms, & Sensors",2043608.33937171,0,469,361,NA
"B-70 VALKYRIE","Aircraft",2031274.42437118,0,344,252.5,NA
"MANEUVER CONTROL SYSTEM (","Ships & Submarines",2026429.2396599,0,166,128.5,NA
"JSIMS","Electronics, Comms, & Sensors",2019302.85876595,0,470,361,NA
"MK82 WPN DATA CONVERTER","Electronics, Comms, & Sensors",2009139.5947792,0,471,361,NA
"AN/TSQ-71 LND CNTRL CENTR","Electronics, Comms, & Sensors",1983328.22355103,0,472,361,NA
"AN/PRC-75 RADIO SET","Electronics, Comms, & Sensors",1982257.49443009,0,473,361,NA
"S-61R","Aircraft",1980333.76875376,0,345,252.5,NA
"RV-1","Aircraft",1963354.54507015,0,346,252.5,NA
"GPU-5A 3UMM POD","Ordnance and Missiles",1953907.39898578,0,221,177.5,NA
"AN/ASM-189 AIR COND SHELT","Electronics, Comms, & Sensors",1943981.10697419,0,474,361,NA
"J-60","Aircraft",1939062.35937403,0,347,252.5,NA
"F-89 SCORPION","Electronics, Comms, & Sensors",1937246.8750004,0,475,361,NA
"EF-111A","Aircraft",1934927.96350756,0,348,252.5,NA
"NSIPS","Other Services",1929153.22350472,0,19,20,NA
"DPPS","Electronics, Comms, & Sensors",1923455.45538246,0,476,361,NA
"BDU-38 PRACTICE","Ordnance and Missiles",1921943.02485168,0,222,177.5,NA
"PLS (FHTV)","Land Vehicles",1917870.16495969,0,136,110,NA
"JCC(X)","Ships & Submarines",1903812.19665955,0,167,128.5,NA
"MISSION DISTRIBUTION SYS","Ordnance and Missiles",1895330.67308224,0,223,177.5,NA
"NAVY EPS","Aircraft",1888060.10480333,290900.430584553,349,56,NA
"AFN","Aircraft",1873689.69786969,0,350,252.5,NA
"AN/ALQ-147 COUNTERMEASURE","Missile Defense",1862309.02845111,0,68,46,NA
"FIRE FIGHTING 500 GPM","Land Vehicles",1824470.020568,0,137,110,NA
"JADC2","Facilities and Construction",1779304.76108079,0,65,77,NA
"AN/SPN-43","Electronics, Comms, & Sensors",1769097.83080091,0,477,361,NA
"AN/ARC-88","Other R&D and Knowledge Based",1748281.47049954,0,63,59.5,NA
"155MM M4 WHITE BAG","Ordnance and Missiles",1740244.54798105,0,224,177.5,NA
"JMPS","Facilities and Construction",1738765.45745125,0,66,77,NA
"AN/TPM-25","Electronics, Comms, & Sensors",1734847.91364609,0,478,361,NA
"DPPS","Facilities and Construction",1728292.40977398,0,67,77,NA
"UTILITY 1/4 TON M151","Land Vehicles",1725489.27726528,0,138,110,NA
"AN/GRN-9","Electronics, Comms, & Sensors",1711638.59871503,0,479,361,NA
"25/MK 58 LOCATION MARKER","Ordnance and Missiles",1707704.18012161,0,225,177.5,NA
"AN/TSC-61 FLIGHT COORD CN","Electronics, Comms, & Sensors",1701277.7828246,0,480,361,NA
"DADS","Other R&D and Knowledge Based",1699670.19907252,0,64,59.5,NA
"ISPAN","Electronics, Comms, & Sensors",1695193.91981634,0,481,361,NA
"AN/MLQ-34 COUNTERMEASURES","Other R&D and Knowledge Based",1685382.12759324,0,65,59.5,NA
"SAT TERM, ADVANCED MPK UH","Electronics, Comms, & Sensors",1678664.44421163,0,482,361,NA
"VERDIN II ZLF-LF RADIO","Electronics, Comms, & Sensors",1663402.81518949,0,483,361,NA
"SPS","Aircraft",1662175.11612597,0,351,252.5,NA
