SIC,Part Indicator,SIC Titles and Part Descriptions,1997 NAICS,1997 NAICS Titles and Part Indicators
2299,pt,".   Yarn of Flax, Hemp, Jute, and Ramie",313111,Yarn Spinning Mills (pt)
2299,pt,.   Recovery and Processing of Fibers and Waste,314999,All Other Miscellaneous Textile Product Mills (pt)
23,,Apparel and other textile products,,
2311,,"Men's and Boys' Suits, Coats, and Overcoats",,
2311,pt,.   Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2311,pt,.   Except  Contractors,315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat   Manufacturing (pt)"
2321,,"Men's and Boys' Shirts, Except Work Shirts",,
2321,pt,.   Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2321,pt,.   Except  Contractors,315223,"Men's and Boys' Cut and Sew Shirt, (except Work Shirt) Manufacturing (pt)"
2322,,Men's and Boys' Underwear and Nightwear,,
2322,pt,.   Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2322,pt,.   Except Contractors,315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing (pt)
2323,,Men's and Boys' Neckwear,,
2323,pt,.   Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2323,pt,.   Except Contractors,315993,Men's and Boys' Neckwear Manufacturing
2325,,Men's and Boys' Trousers and Slacks,,
2325,pt,.   Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2325,pt,.   Except  Contractors,315224,"Men's and Boys' Cut And Sew Trouser, Slack, And Jean Manufacturing  (pt)"
2326,,Men's and Boys' Work Clothing,,
2326,pt,.   Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2326,pt,.   Except  Contractors,315225,Men's and Boys' Cut and Sew Work Clothing Manufacturing
2329,,"Men's and Boys' Clothing, NEC",,
2329,pt,.   Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2329,pt,.   Except  Contractors,315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing (pt)
2329,pt,".   Athletic Uniforms, Except Contractors",315299,All Other Cut and Sew Apparel Manufacturing (pt)
2331,,"Women's, Misses', and Juniors' Blouses and Shirts",,
2331,pt,.   Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2331,pt,.   Except Contractors,315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing (pt)
2335,,"Women's, Misses', and Juniors' Dresses",,
2335,pt,.   Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2335,pt,.   Except  Contractors,315233,Women's and Girls' Cut and Sew Dress Manufacturing (pt)
2337,,"Women's, Misses' and Juniors' Suits, Skirts, and Coats",,
2337,pt,.   Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2337,pt,.   Except  Contractors,315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing (pt)"
2339,,"Women's, Misses', and Juniors' Outerwear, NEC",,
2339,pt,".   Scarves, Except Contractors",315999,Other Apparel Accessories and Other Apparel Manufacturing (pt)
2339,pt,.   Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2339,pt,".   Athletic Uniforms, Except Contractors",315299,All Other Cut and Sew Apparel Manufacturing (pt)
2339,pt,".   All Other, Except Contractors",315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing (pt)
2341,,"Women's, Misses', Children's, and Infants' Underwear and Nightwear",,
2341,pt,".   Women's, Girls' and Infants' Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2341,pt,.   Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2341,pt,".   Women's and Girls', Except Contractors",315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing (pt)"
2341,pt,".   Boys', Except Contractors",315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing (pt)
2341,pt,".   Infants', Except Contractors",315291,Infants' Cut and Sew Apparel Manufacturing (pt)
2342,,"Brassieres, Girdles, and Allied Garments",,
2342,pt,.   Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2342,pt,.   Except contractors,315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing (pt)"
2353,,"Hats, Caps, and Millinery",,
2353,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2353,pt,".   Women's, Girls', and Infants' Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2353,pt,.   Except Contractors,315991,"Hat, Cap, and Millinery Manufacturing"
2361,,"Girls', Children's, and Infants' Dresses, Blouses, and Shirts",,
2361,pt,".   Infants' Dresses, Blouses, and Shirts, Except Contractors",315291,Infants' Cut and Sew Apparel Manufacturing (pt)
2361,pt,".   Boys' Shirts, Except Contractors",315223,"Men's and Boys' Cut and Sew Shirt, (except Work Shirt) Manufacturing (pt)"
2361,pt,.   Boys' Shirt Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2361,pt,".   Girls' Blouses and Shirts, Except Contractors",315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing (pt)
2361,pt,".   Girls' Dresses, Except Contractors",315233,Women's and Girls' Cut and Sew Dress Manufacturing (pt)
2361,pt,.   Girls' and Infants' Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2369,,"Girls', Children's, and Infants' Outerwear, NEC",,
2369,pt,".   Infants' Outerwear, NEC, Except Contractors",315291,Infants' Cut and Sew Apparel Manufacturing (pt)
2369,pt,".   Boys' Suits and Coats, Except Contractors",315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing (pt)"
2369,pt,".   Boys' Trousers and Slacks, Except Contractors",315224,"Men's and Boys' Cut and Sew Trouser, Slack, and Jean Manufacturing (pt)"
2369,pt,".   Boys' Outerwear, NEC, Except Contractors",315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing (pt)
2369,pt,".   Boys' Robes, Except Contractors",315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing (pt)
2369,pt,.   Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2369,pt,".   Girls' Suits, Coats, Skirts, Etc., Except Contractors",315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and Skirt Manufacturing (pt)"
2369,pt,".   Girls' Outerwear, NEC, Except Contractors",315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing (pt)
2369,pt,".   Girls' Robes, Except Contractors",315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and  Nightwear Manufacturing (pt)"
2369,pt,.   Girls' Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2371,,Fur Goods,,
2371,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2371,pt,".   Women's, Girls', and Infants' Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2371,pt,.   Except Contractors,315292,Fur and Leather Apparel Manufacturing (pt)
2381,,"Dress and Work Gloves, Except Knit and All-Leather",,
2381,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2381,pt,".   Women's, Girls', and Infants' Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2381,pt,.   Except Contractors,315992,Glove and Mitten Manufacturing (pt)
2384,,Robes and Dressing Gowns,,
2384,pt,.   Women's Except Contractors,315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and  Nightwear Manufacturing (pt)"
2384,pt,.   Men's Except Contractors,315221,Men's and Boys' Cut and Sew Underwear and Nightwear  Manufacturing (pt)
2384,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2384,pt,.   Women's and Girls' Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2385,,Waterproof Outerwear,,
2385,pt,.   Men's and Boys' Water Resistant or Water Repellent Tailored Overcoats,315222,"Men's and Boys' Cut and Sew Suit, Coat, and Overcoat Manufacturing (pt)"
2385,pt,.   Women's and Girls' Water Resistant or Water Repellent Tailored Coats,315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket, and  Skirt Manufacturing (pt)"
2385,pt,".   Men's and Boys' Water Resistant or Water Repellent Nontailored Outerwear, except Rubber and Plastics and Contractors",315228,Men's and Boys' Cut and Sew Other Outerwear Manufacturing (pt)
2385,pt,".   Women's and Girls' Water Resistant or Water Repellent Nontailored Outerwear, except Rubber and Plastics and Contractors",315239,Women's and Girls' Cut and Sew Other Outerwear Manufacturing (pt)
2385,pt,.   Infants' Waterproof Outerwear Except Contractors,315291,Infants' Cut and Sew Apparel Manufacturing (pt)
2385,pt,".   Waterproof Rubber and Plastics Outerwear, Except Contractors",315299,All Other Cut and Sew Apparel Manufacturing (pt)
2385,pt,".   Accessories such as Aprons, Bibs, and Miscellaneous Waterproof Items, Except Contractors",315999,Other Apparel Accessories and Other Apparel Manufacturing (pt)
2385,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2385,pt,.   Women's and Girls' Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2386,,Leather and Sheep-Lined Clothing,,
2386,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2386,pt,".   Women's, Girls', and Infants' Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2386,pt,.   Except Contractors,315292,Fur and Leather Apparel Manufacturing (pt)
2387,,Apparel Belts,,
2387,pt,.   Men's and Boys' Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2387,pt,".   Women's, Girls', and Infants' Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2387,pt,.   Except Contractors,315999,Other Apparel Accessories and Other Apparel Manufacturing (pt)
2389,,"Apparel and Accessories, NEC",,
2389,pt,".   Handkerchiefs, Arm bands, etc.",315999,Other Apparel Accessories and Other Apparel Manufacturing (pt)
2389,pt,.   Academic and Clerical Outerwear,315299,All Other Cut and Sew Apparel Manufacturing (pt)
2389,pt,.   Garters and Garter Belts,315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear, and Nightwear Manufacturing (pt)"
2389,pt,.   Women's Contractors,315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2389,pt,.   Men's Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2391,,Curtains and Draperies,314121,Curtain and Drapery Mills (pt)
2392,,"Housefurnishings, Except Curtains and Draperies",,
2392,pt,".   Blanket, Laundry, and Garment Storage Bags",314911,Textile Bag Mills (pt)
2392,pt,.   Dust Rags,314999,All Other Miscellaneous Textile Product Mills (pt)
2392,pt,".   Mops, Floor and Dust",339994,"Broom, Brush, and Mop Manufacturing (pt)"
2392,pt,.   Other Housefurnishings,314129,Other Household Textile Product Mills (pt)
2393,,Textile Bags,314911,Textile Bag Mills (pt)
2394,,Canvas and Related Products,314912,Canvas and Related Product Mills (pt)
2395,,"Pleating, Decorative and Novelty Stitching, and Tucking for the Trade",,
2395,pt,".   Pleating and Stitching, Except Apparel Contractors",314999,All Other Miscellaneous Textile Product Mills (pt)
2395,pt,.   Men's and Boys' Apparel Contractors,315211,Men's and Boys' Cut and Sew Apparel Contractors (pt)
2395,pt,".   Women's, Girls', and Infants' Apparel Contractors",315212,"Women's, Girls', and Infants' Cut and Sew Apparel Contractors (pt)"
2396,,"Automotive Trimmings, Apparel Findings, and Related Products",,
2396,pt,.   Textile Automotive Trimmings,33636,Motor Vehicle Seating and Interior Trim Manufacturing (pt)
2396,pt,.   Apparel Findings and Trimmings,315999,Other Apparel Accessories and Other Apparel Manufacturing (pt)
2396,pt,.   Printing and Embossing on Fabric Articles,323113,Commercial Screen Printing (pt)
2396,pt,.   Other  Apparel  Products,314999,All Other Miscellaneous Textile Product Mills (pt)
2397,,Schiffli Machine Embroideries,313222,Schiffli Machine Embroidery
2399,,"Fabricated Textile Products, NEC",,
2399,pt,.   Seat Belts and Seat and Tire Covers,33636,Motor Vehicle Seating and Interior Trim Manufacturing (pt)
2399,pt,.   Apparel and Apparel Accessories,315999,Other Apparel Accessories and Other Apparel Manufacturing (pt)
2399,pt,.   Other Fabricated Textile Products,314999,All Other Miscellaneous Textile Product Mills (pt)
24,,Lumber and wood products,,
2411,,Logging,11331,Logging
2421,,"Sawmills and Planing Mills, General",,
2421,pt,".   Lumber Manufacturing from Purchased Lumber, Softwood Cut Stock, Wood Lath and Planing Mill Products",321912,"Cut Stock, Resawing Lumber, and Planing (pt)"
2421,pt,.   Sawmills,321113,Sawmills (pt)
2421,pt,.   Softwood Flooring,321918,Other Millwork (including Flooring)  (pt)
2421,pt,.   Kiln Drying,321999,All Other Miscellaneous Wood Product Manufacturing (pt)
2426,,Hardwood Dimension and Flooring Mills,,
2426,pt,.   Hardwood Flooring,321918,Other Millwork (including Flooring) (pt)
2426,pt,.   Wood Furniture Frames,337215,"Showcase, Partition, Shelving, and Locker Manufacturing (pt)"
2426,pt,.   Hardwood Dimension Lumber Made From Logs and Bolts,321113,Sawmills (pt)
2426,pt,.   Other Hardwood Dimension Except Flooring,321912,"Cut Stock, Resawing Lumber, and Planing (pt)"
2429,,"Special Product Sawmills, NEC",,
2429,pt,".   Shingle Mills, Shakes",321113,Sawmills (pt)
2429,pt,.   Stave Manufacturing from Purchased Lumber,321912,"Cut Stock, Resawing Lumber, and Planing (pt)"
2429,pt,.   Cooperage Stock,32192,Wood Container and Pallet Manufacturing (pt)
2429,pt,.   Excelsior and Cooperage Headings,321999,All Other Miscellaneous Wood Product Manufacturing (pt)
2431,,Millwork,,
2431,pt,.   Wood Windows and Doors,321911,Wood Window and Door Manufacturing
2431,pt,.   Except Wood Windows and Doors,321918,Other Millwork (including Flooring) (pt)
2434,,Wood Kitchen Cabinets,33711,Wood Kitchen Cabinet and Countertop Manufacturing (pt)
2435,,Hardwood Veneer and Plywood,321211,Hardwood Veneer and Plywood Manufacturing
2436,,Softwood Veneer and Plywood,321212,Softwood Veneer and Plywood Manufacturing
2439,,"Structural Wood Members, NEC",,
2439,pt,.   Trusses,321214,Truss Manufacturing
2439,pt,.   Except Trusses,321213,Engineered Wood Member (except Truss) Manufacturing
2441,,Nailed and Lock Corner Wood Boxes and Shook,32192,Wood Container and Pallet Manufacturing (pt)
2448,,Wood Pallets and Skids,32192,Wood Container and Pallet Manufacturing (pt)
2449,,"Wood Containers, NEC",32192,Wood Container and Pallet Manufacturing (pt)
2451,,Mobile Homes,321991,Manufactured Home (Mobile Home)  Manufacturing
2452,,Prefabricated Wood Buildings and Components,321992,Prefabricated Wood Building Manufacturing
2491,,Wood Preserving,321114,Wood Preservation
2493,,Reconstituted Wood Products,321219,Reconstituted Wood Product Manufacturing
2499,,"Wood Products, NEC",,
2499,pt,.   Mirror and Picture Frames,339999,All Other Miscellaneous Manufacturing (pt)
2499,pt,.   Wood Cooling Towers,333414,Heating Equipment (except Warm Air Furnace) Manufacturing (pt)
2499,pt,".   Wood Tubs and Vats, Jewelry, Cigar Boxes, and Baskets, Except Fruit, Fish, and Bait",32192,Wood Container and Pallet Manufacturing (pt)
2499,pt,.   Other Wood Products,321999,All Other Miscellaneous Wood Product Manufacturing (pt)
25,,Furniture and fixtures,,
2511,,"Wood Household Furniture, Except Upholstered",,
2511,pt,.   Wood Box Spring Frames,337215,"Showcase, Partition, Shelving, and Locker Manufacturing (pt)"
2511,pt,.   Except Wood Box Spring Frames,337122,Wood Household Furniture (except Upholstered) Manufacturing (pt)
2512,,"Wood Household Furniture, Upholstered",337121,Upholstered Household Furniture Manufacturing (pt)
2514,,Metal Household Furniture,,
2514,pt,.   Except Upholstered and Metal Box Spring Frames,337124,Metal Household Furniture Manufacturing
2514,pt,.   Upholstered,337121,Upholstered Household Furniture Manufacturing (pt)
2514,pt,.   Metal Box Spring Frames,337215,"Showcase, Partition, Shelving, and Locker Manufacturing (pt)"
2515,,"Mattresses, Foundations, and Convertible Beds",,
2515,pt,.   Mattresses and Foundations,33791,Mattress Manufacturing
2515,pt,.   Convertible Sofas,337121,Upholstered Household Furniture Manufacturing (pt)
2517,,"Wood Television, Radio, Phonograph and Sewing Machine Cabinets",337129,"Wood Television, Radio, and Sewing Machine Cabinet Manufacturing"
2519,,"Household Furniture, NEC",337125,Household Furniture (except Wood and Metal) Manufacturing
2521,,Wood Office Furniture,337211,Wood Office Furniture Manufacturing
2522,,"Office Furniture, Except Wood",337214,Office Furniture (except Wood) Manufacturing
2531,,Public Building and Related Furniture,,
2531,pt,.   Seats for Motor Vehicles,33636,Motor Vehicle Seating and Interior Trim Manufacturing (pt)
2531,pt,.   Furniture Made for Public Buildings,337127,Institutional Furniture Manufacturing (pt)
2531,pt,.   Blackboards,339942,Lead Pencil and Art Good Manufacturing (pt)
2541,,"Wood Office and Store Fixtures, Partitions, Shelving, and Lockers",,
2541,pt,.   Wood Lunchroom Tables and Chairs,337127,Institutional Furniture Manufacturing (pt)
2541,pt,".   Custom Architectural Woodwork, Millwork and Fixtures",337212,Custom Architectural Woodwork and Millwork Manufacturing
