Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,gfe_gfp_value,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2013,NA,Defense,Air Force,FRS,Facilities and Construction,NA,NA,DCA,Full Competition (Multiple Offers),10-24 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2016,FALSE,2016,>2-4 Years,>2-4 Years,1,14136186.39,NA,1,2013-01-01,2013,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,18196818.22247366,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2017,NA,Defense,Navy,Construction,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,FALSE,N,N,NA,2017,FALSE,2017,>2-7 Months,>7-12 Months,1,0,NA,1,2017-01-01,2017,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Construction,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,4,Defense,Navy,MED,Other Services,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,X,2025,FALSE,2025,>7-12 Months,>7-12 Months,2,634140,NA,2,2024-01-01,2024.4,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,MED,Services (Non-R&D),Services (Non-R&D),Other Services,Navy,Small,617645.1753586149,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2002,NA,Defense,DLA,Clothing & Subsistence,Other Products,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,25-99 Offers,FFP,J,Large,TRUE,Y,N,Y,2002,FALSE,1900,NA,>2-7 Months,53,20524467,NA,53,2002-01-01,2002,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Large,33166821.385624617,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2010,NA,Defense,Other DoD,Electronics & Communications,Aircraft,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,TRUE,N,Y,X,2011,FALSE,2009,<=2 Months,>2-4 Years,1,-7014,NA,1,2010-01-01,2010,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",Products,Products (All),Products (All),Aircraft,Other DoD,Medium,-9547.267837713885,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2017,NA,Defense,Army,Launchers & Munitions,Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2017,FALSE,2017,<=2 Months,<=2 Months,6,17702.0701,NA,6,2017-01-01,2017,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Ordnance and Missiles,Army,Medium,21608.916975221073,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2003,NA,Defense,Navy,PAMS,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Medium >1B,TRUE,N,N,X,2004,FALSE,1900,NA,<=2 Months,2,113044,NA,2,2003-01-01,2003,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Navy,Medium,179234.71972048617,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2024,4,Defense,Other DoD,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,X,2025,FALSE,2025,>7-12 Months,>7-12 Months,4,7062087.77,NA,4,2024-01-01,2024.4,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Other DoD,Small,6878393.476361023,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2012,NA,Defense,Air Force,ERS,Facilities and Construction,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Medium <1B,FALSE,Y,Y,NA,2012,NA,2012,>2-7 Months,>2-7 Months,2,30279,NA,2,2012-01-01,2012,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,"Transaction uses
Government Furnished
Equipment or Property",ERS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Medium,39683.89018054883,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2018,NA,Defense,DLA,Clothing & Subsistence,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),10-24 Offers,FFP,J,Small,FALSE,Y,N,NA,2018,FALSE,2018,>7-12 Months,>1-2 Years,2,438493.4922,NA,2,2018-01-01,2018,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,DLA,Small,523644.10657982086,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2012,NA,Defense,DLA,Other,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other FP,K,Large,TRUE,N,N,NA,2013,FALSE,2013,>7-12 Months,>7-12 Months,2,2496676.25,NA,2,2012-01-01,2012,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,DLA,Large,3272163.0873339437,FP-Econ. Price Adj.,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2013,NA,Defense,Other DoD,Basic Research (6.1),Ordnance and Missiles,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Medium <1B,TRUE,N,N,X,2008,FALSE,2008,>7-12 Months,>7-12 Months,1,-9744.76,NA,1,2013-01-01,2013,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Ordnance and Missiles,Other DoD,Medium,-12543.950783435617,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,4,Defense,Other DoD,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,Other CB,S,Small,FALSE,N,N,NA,2021,FALSE,2021,>4 years,>4 years,1,-21110.0293,NA,1,2022-01-01,2022.4,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Cost No Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Other DoD,Small,-22075.74125488554,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2020,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,TRUE,Y,N,NA,2019,FALSE,2019,>1-2 Years,>1-2 Years,3,-40301.9,NA,3,2020-01-01,2020,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,-46645.04534247152,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2019,NA,Defense,Air Force,ERS,Ordnance and Missiles,NA,NA,DCA,Full Competition (Multiple Offers),Two Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2020,FALSE,2021,>2-4 Years,>2-4 Years,1,0,NA,1,2019-01-01,2019,Full Year,Air Force,Air Force,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Ordnance and Missiles,Air Force,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,FALSE,N,N,X,2011,FALSE,2011,>2-7 Months,>1-2 Years,1,0,NA,1,2011-01-01,2011,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2008,NA,Defense,Air Force,PAMS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Small,FALSE,N,N,X,2009,FALSE,2009,>2-7 Months,>2-7 Months,9,529297.6181,NA,9,2008-01-01,2008,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Small,734136.577835667,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,DLA,Other,Land Vehicles,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,N,N,X,2010,FALSE,2010,>2-7 Months,>2-7 Months,1,336549,NA,1,2009-01-01,2009,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Land Vehicles,DLA,Medium,462068.7932342548,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Medium <1B,TRUE,N,N,X,2006,FALSE,1900,NA,>2-4 Years,1,14154,NA,1,2005-01-01,2005,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Medium,21259.736445597733,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2023,4,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,Other CB,U,Large,TRUE,N,N,NA,2024,FALSE,2023,>7-12 Months,>2-4 Years,1,0,NA,1,2023-01-01,2023.4,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Large,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2025,2,Defense,Other DoD,FRS,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,25-99 Offers,FFP,J,Small,FALSE,Y,N,X,2026,FALSE,2030,>4 years,>7-12 Months,1,643532,NA,1,2025-01-01,2025.2,YTD,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Other DoD,Small,613335.0346887237,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2018,NA,Defense,Other DoD,ICT,"Electronics, Comms, & Sensors",NA,NA,GWAC,Limited Competition with multiple offers,Two Offers,T&M/LH/FPLOE,Z,Large,TRUE,N,N,NA,2018,NA,2018,>2-4 Years,>2-4 Years,3,698623.4883,NA,3,2018-01-01,2018,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Labor Hours,T&M/LH/FPLOE,All Other,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Large,834288.4874553024,All Other,>1 year,All Other,All Other,Cost or Effort-Based,>1 year
2014,NA,Defense,Army,PAMS,Other Services,NA,NA,PO,Limited Competition with multiple offers,5-9 Offers,FFP,J,Medium <1B,FALSE,Y,N,NA,2015,NA,2015,>1-2 Years,>1-2 Years,1,60368,NA,1,2014-01-01,2014,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Medium,76316.50538671485,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2011,NA,Defense,Navy,Ground Vehicles,Land Vehicles,NA,NA,FSS,No Competition (Only One Source Exception),No competition,FFP,J,Small,FALSE,Y,N,NA,2011,FALSE,2011,<=2 Months,<=2 Months,3,56045.1592,NA,3,2011-01-01,2011,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Land Vehicles,Navy,Small,74786.1017481633,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,3,Defense,Air Force,PAMS,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Other Exception),No competition,Other CB,U,Medium <1B,TRUE,N,N,NA,2023,FALSE,2027,>4 years,>7-12 Months,2,240000,NA,2,2022-01-01,2022.3,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Air Force,Medium,250979.1827324716,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2019,NA,Defense,DLA,Ground Vehicles,Aircraft,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2020,FALSE,2020,>7-12 Months,>7-12 Months,2,11058,NA,2,2019-01-01,2019,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,12965.613875274215,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2024,4,Defense,Army,Other,Facilities and Construction,NA,NA,DCA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,Y,N,X,2027,FALSE,2027,>2-4 Years,>2-4 Years,1,7018500,NA,1,2024-01-01,2024.4,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Small,6835939.48221913,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,3,Defense,DLA,Other,Aircraft,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,TRUE,Y,N,NA,2023,NA,2023,>2-7 Months,>2-7 Months,1,19700,NA,1,2022-01-01,2022.3,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,20601.207915957046,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2001,NA,Defense,Other DoD,Other,Facilities and Construction,NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,NA,NO,Small,FALSE,N,N,X,2001,FALSE,1900,NA,>2-7 Months,2,947250,NA,2,2001-01-01,2001,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Other DoD,Small,1554804.4565644509,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2025,2,Defense,Air Force,Experimental Development,Other R&D and Knowledge Based,NA,NA,SINGLE AWARD IDC,Limited Competition with multiple offers,5-9 Offers,Other CB,U,To Be Labeled,TRUE,N,N,NA,2027,FALSE,2022,>2-4 Years,>4 years,2,-147659,134207.29,2,2025-01-01,2025.2,YTD,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,No Government Furnished,R&D,R&D,R&D,Other R&D and Knowledge Based,Air Force,To Be Labeled,-140730.2789715232,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2001,NA,Defense,Army,Other,Facilities and Construction,NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,NA,NO,Large,FALSE,N,N,X,2001,FALSE,1900,NA,>7-12 Months,5,1620003,NA,5,2001-01-01,2001,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,Products,Products (All),Products (All),Facilities and Construction,Army,Large,2659052.9258883926,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2006,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Competition with single offer,One Offer,NA,NO,Small,TRUE,Y,N,X,2007,FALSE,2007,>7-12 Months,>7-12 Months,12,828295,NA,12,2006-01-01,2006,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Small,1204981.177565399,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2017,NA,Defense,Navy,Clothing & Subsistence,Other Products,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Medium <1B,FALSE,Y,N,NA,2012,FALSE,2012,<=2 Months,<=2 Months,2,-0.86,NA,2,2017-01-01,2017,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Other Products,Navy,Medium,-1.049802000201667,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,DLA,Engines & Power Plants,Aircraft,NA,NA,DCA,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,X,2006,FALSE,1900,NA,>1-2 Years,1,128213,NA,1,2005-01-01,2005,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),Aircraft,DLA,Small,192579.80704390432,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2010,NA,Defense,Navy,ERS,Land Vehicles,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Unlabeled,TRUE,Y,N,NA,2010,FALSE,2010,>2-7 Months,>2-7 Months,2,8781.2196,NA,2,2010-01-01,2010,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Land Vehicles,Navy,Unlabeled,11952.759547046306,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Navy,ERS,Ships & Submarines,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,TRUE,Y,N,X,2008,FALSE,2008,<=2 Months,<=2 Months,32,561533,NA,32,2008-01-01,2008,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Medium,778847.1001279112,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2004,NA,Defense,Air Force,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,N,X,2005,FALSE,1900,NA,>2-4 Years,1,215920,NA,1,2004-01-01,2004,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Air Force,Large,334187.32599395106,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2025,2,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2025,FALSE,2023,>7-12 Months,>2-4 Years,1,0,NA,1,2025-01-01,2025.2,YTD,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,<=1 year
2024,4,Defense,DLA,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,N,Y,2025,FALSE,2025,>2-7 Months,>2-7 Months,5,328836.7,NA,5,2024-01-01,2024.4,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,No Government Furnished,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",DLA,Large,320283.22016565467,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
