Fiscal_Year,fiscal_quarter_YTD,ContractingCustomer,ContractingSubCustomer,ProductServiceOrRnDarea,PlatformPortfolio,IsF35,IsRemotelyOperated,Vehicle,CompetitionClassification,ClassifyNumberOfOffers,PricingUCA,TypeOfContractPricing,VendorSize,IsEntityTraditional,AnyCommercial,gfe_gfp_code,costaccountingstandardsclause,CurrentEndFYear,multiyearcontract,UnmodifiedUltimateEndFYear,UnmodifiedUltimateDurationCategory,CurrentDurationCategory,transactioncount,Action_Obligation_Then_Year,COVID19obligated,NumberOfActions,dFYear,Fiscal_YQ,YTD,SubCustomer.sum,SubCustomer.platform,Competition.sum,Competition.effective.only,Competition.multisum,No.Competition.sum,Vehicle.sum,Vehicle.sum7,Vehicle.AwardTask,PricingMechanism,PricingFee,PricingInflation,Pricing.sum,PricingUCA.sum,ServicesCategory.detail,ServicesCategory.sum,SimpleArea,PlatformPortfolioUAV,SubCustomer.JPO,Shiny.VendorSize,Action_Obligation_OMB25_GDP23,PricingInflationUCA,CurrentDurationIsYear,PricingInflation.1year,PricingInflation.1yearUCA,PricingUCA.1year,UnmodifiedUltimateDurationIsYear
2008,NA,Defense,Navy,Other,Aircraft,NA,NA,DCA,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Small,FALSE,N,N,X,2009,FALSE,2009,>1-2 Years,>1-2 Years,5,110988.1,NA,5,2008-01-01,2008,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Navy,Small,153940.6585787596,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,4,Defense,DLA,Ships,Ships & Submarines,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Large,FALSE,N,N,NA,2025,NA,2025,>2-7 Months,>2-7 Months,5,192811.57,NA,5,2024-01-01,2024.4,Full Year,Other DoD,DLA,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,DLA,Large,187796.28467502422,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,DLA,Electronics & Communications,Land Vehicles,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,TRUE,N,N,NA,2015,NA,2015,>2-7 Months,>2-7 Months,1,23000,NA,1,2015-01-01,2015,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,DLA,Medium,28778.290282424958,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,3,Defense,Navy,FRS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,FFP,J,Unlabeled,TRUE,N,N,X,NA,FALSE,NA,NA,NA,2,0,NA,NA,2022-01-01,2022.3,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Unlabeled,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2024,1,Defense,Navy,Launchers & Munitions,Ordnance and Missiles,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,N,Y,2026,FALSE,2023,>2-4 Years,>4 years,1,2787906,NA,1,2024-01-01,2024.1,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Navy,Large,2715388.857749605,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2000,NA,Defense,Air Force,PAMS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large,TRUE,N,N,X,2001,FALSE,1900,NA,>7-12 Months,1,59159,NA,1,2000-01-01,2000,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Air Force,Large,99456.53666045796,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2004,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,Limited Competition with multiple offers (Overrode blank Fair Opportunity),25-99 Offers,NA,NO,Medium <1B,FALSE,Y,N,X,2004,FALSE,1900,NA,>7-12 Months,3,193558,NA,3,2004-01-01,2004,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Not Reported,NA,NA,Crosscutting,Crosscutting,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Medium,299576.83607232856,NA,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2012,NA,Defense,Navy,Other,Other Products,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),3-4 Offers,FFP,J,Medium <1B,TRUE,Y,N,NA,2015,FALSE,2014,>2-4 Years,>2-4 Years,1,-200000,NA,1,2012-01-01,2012,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Navy,Medium,-262121.53757091603,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2022,1,Defense,Army,FRS,Facilities and Construction,NA,NA,DCA,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,X,2029,FALSE,2029,>4 years,>4 years,3,286000,NA,3,2022-01-01,2022.1,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,299083.5260895287,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2024,3,Defense,Army,ERS,Ships & Submarines,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,NA,2024,NA,2025,>2-7 Months,<=2 Months,1,128650,NA,1,2024-01-01,2024.3,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Army,Small,125303.64242893652,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,Full Competition (Multiple Offers),Two Offers,Other FP,K,Large,TRUE,Y,N,X,2011,FALSE,2011,>4 years,>4 years,2,97306,NA,2,2006-01-01,2006,Full Year,Other DoD,Other DoD,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Fixed Price with Economic Price Adjustment,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Large,141558.13866337322,FP-Econ. Price Adj.,>1 year,FP-Econ. Price Adj.,FP-Econ. Price Adj.,Fixed-Price,>1 year
2010,NA,Defense,Other DoD,ICT,"Electronics, Comms, & Sensors",NA,NA,BPA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),5-9 Offers,FFP,J,Small,FALSE,Y,N,NA,2011,NA,2011,>7-12 Months,>7-12 Months,1,75000,NA,1,2010-01-01,2010,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Small,102087.97944518697,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,Army,Other,Other Products,NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2015,NA,2015,<=2 Months,>2-7 Months,3,0,NA,3,2015-01-01,2015,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Army,Medium,0,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Navy,Other,Other Products,NA,NA,FSS,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Small,TRUE,Y,N,X,2009,FALSE,2009,>2-7 Months,>2-7 Months,1,10948,NA,1,2009-01-01,2009,Full Year,Navy,Navy,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Navy,Small,15031.181635745825,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2020,NA,Defense,Other DoD,PAMS,Aircraft,NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Medium >1B,TRUE,N,N,NA,2020,FALSE,2020,>7-12 Months,>1-2 Years,1,0,NA,1,2020-01-01,2020,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,PAMS,Services (Non-R&D),Services (Non-R&D),Aircraft,Other DoD,Medium,0,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,<=1 year
2010,NA,Defense,DLA,Clothing & Subsistence,Other Products,NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large,TRUE,Y,N,X,2010,FALSE,2010,<=2 Months,<=2 Months,7,61966,NA,7,2010-01-01,2010,Full Year,Other DoD,DLA,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Large,84346.44979067275,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2009,NA,Defense,Air Force,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Limited Competition with multiple offers,3-4 Offers,FFP,J,Medium <1B,FALSE,Y,N,X,2010,FALSE,2013,>4 years,>2-4 Years,1,237109.4063,NA,1,2009-01-01,2009,Full Year,Air Force,Air Force,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Air Force,Medium,325542.0673766127,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2013,NA,Defense,DLA,Other,Other Products,NA,NA,PO,Full Competition (Multiple Offers),Two Offers,FFP,J,Small,FALSE,N,N,NA,2013,NA,2013,>7-12 Months,>7-12 Months,4,86648,NA,4,2013-01-01,2013,Full Year,Other DoD,DLA,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,DLA,Small,111537.71334369747,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2005,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Unlabeled: No competition; multiple offers,Unlabeled: No competition; multiple offers,FFP,J,Medium <1B,FALSE,N,N,X,2002,FALSE,1900,NA,NA,1,1400,NA,1,2005-01-01,2005,Full Year,Army,Army,Unlabeled,Unlabeled,Unlabeled,Unlabeled,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,2102.8423783974017,FFP,NA,FFP,FFP,Fixed-Price,NA
2017,NA,Defense,Air Force,Aircraft,Aircraft,NA,NA,BOA,No Competition (Other Exception),No competition,FFP,J,Large,TRUE,N,N,NA,2018,NA,2018,>1-2 Years,>2-4 Years,1,0,NA,1,2017-01-01,2017,Full Year,Air Force,Air Force,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Other IDV,BOA or BPA,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,Air Force,Large,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
1998,NA,Defense,Navy,ERS,Ships & Submarines,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers (Overrode blank Fair Opportunity),Two Offers,Other CB,R,Medium >1B,NA,N,N,X,NA,FALSE,NA,NA,NA,1,0,NA,NA,1998-01-01,1998,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Award Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ERS,Services (Non-R&D),Services (Non-R&D),Ships & Submarines,Navy,Medium,0,Cost-Based,NA,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2007,NA,Defense,Army,Other,Other Products,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,FFP,J,Large,TRUE,Y,N,X,2007,FALSE,2007,<=2 Months,<=2 Months,3,87999,NA,3,2007-01-01,2007,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Other Products,Army,Large,124588.7025350442,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2006,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,Other CB,U,Medium <1B,TRUE,N,N,X,2006,FALSE,NA,NA,<=2 Months,1,70000,NA,1,2006-01-01,2006,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Medium,101834.1079320507,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2015,NA,Defense,Navy,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,DCA,No Competition (Only One Source Exception),No competition,Other CB,U,Small,TRUE,N,N,X,2015,FALSE,2016,>4 years,>2-4 Years,1,-1073890,NA,1,2015-01-01,2015,Full Year,Navy,Navy,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Definitive,Definitive,Award,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Navy,Small,-1343683.397886667,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,>1 year
2012,NA,Defense,Army,PAMS,Other Services,NA,NA,PO,Limited Competition with multiple offers,3-4 Offers,FFP,J,Small,FALSE,N,N,NA,2013,NA,2013,>1-2 Years,>1-2 Years,1,49290,NA,1,2012-01-01,2012,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other Services,Army,Small,64599.85293435225,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
1991,NA,Defense,Army,ERS,Aircraft,FALSE,NA,NA,Limited Competition with multiple offers,Two Offers,NA,J,Medium <1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29000,NA,NA,1991-01-01,1991,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Crosscutting,ERS,Services (Non-R&D),Services (Non-R&D),Aircraft,Army,Medium,57909.864222894896,FFP,NA,FFP,FFP,Crosscutting,NA
2020,NA,Defense,DLA,Other,Aircraft,NA,NA,PO,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,N,N,NA,2021,NA,2020,>1-2 Years,>2-4 Years,1,0,NA,1,2020-01-01,2020,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2018,NA,Defense,Army,FRS,Facilities and Construction,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,Two Offers,FFP,J,Medium <1B,TRUE,N,N,NA,2020,TRUE,2020,>1-2 Years,>1-2 Years,1,38935.3086,NA,1,2018-01-01,2018,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Army,Medium,46496.11738583657,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2015,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,PO,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,NA,2014,NA,2014,<=2 Months,<=2 Months,1,-11900,NA,1,2015-01-01,2015,Full Year,Other DoD,Other DoD,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Medium,-14889.637146124218,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2022,3,Defense,Army,Launchers & Munitions,Ordnance and Missiles,NA,NA,DCA,No Competition (Other Exception),No competition,FFP,J,Small,FALSE,Y,N,X,2022,FALSE,2022,>2-7 Months,>2-7 Months,3,668000,NA,3,2022-01-01,2022.3,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Other),Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ordnance and Missiles,Army,Small,698558.7252720459,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2008,NA,Defense,Navy,ICT,"Electronics, Comms, & Sensors",NA,NA,FSS,Competition with single offer,One Offer,FFP,J,Large,TRUE,Y,N,X,2010,FALSE,2010,>1-2 Years,>1-2 Years,2,34244.8501,NA,2,2008-01-01,2008,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Navy,Large,47497.65765271144,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2007,NA,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,FSS,Competition with single offer,One Offer,Combination/Other,2,Large,TRUE,N,N,X,2007,FALSE,2010,>4 years,>1-2 Years,2,-22654,NA,2,2007-01-01,2007,Full Year,Army,Army,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Other IDV,FSS or GWAC,Task Order,Combination (two or more),Combination or Other,All Other,Crosscutting,Crosscutting,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Large,-32073.460689654326,All Other,>1 year,All Other,All Other,Crosscutting,>1 year
2023,4,Defense,Army,PAMS,Other R&D and Knowledge Based,NA,NA,MULTIPLE AWARD IDC,Limited Competition with multiple offers,10-24 Offers,FFP,J,Medium <1B,TRUE,N,N,Y,2024,FALSE,2024,>4 years,>4 years,3,7216195,1678232.4375,3,2023-01-01,2023.4,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,PAMS,Services (Non-R&D),Services (Non-R&D),Other R&D and Knowledge Based,Army,Medium,7216195,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2006,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,SINGLE AWARD IDC,Full Competition (Multiple Offers),Two Offers,FFP,J,Large,TRUE,Y,N,X,2007,FALSE,2007,>2-7 Months,>2-7 Months,10,468402,NA,10,2006-01-01,2006,Full Year,Navy,Navy,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Large,681418.5689084058,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2010,NA,Defense,Army,Electronics & Communications,"Electronics, Comms, & Sensors",NA,NA,SINGLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Medium <1B,FALSE,Y,N,X,2010,FALSE,2010,<=2 Months,<=2 Months,17,1138481.9973,NA,17,2010-01-01,2010,Full Year,Army,Army,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Single-Awd.,Single-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),"Electronics, Comms, & Sensors",Army,Medium,1549671.023187704,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2015,NA,Defense,DISA,ICT,"Electronics, Comms, & Sensors",NA,NA,MULTIPLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Large: Big 5,TRUE,N,Y,NA,2016,FALSE,2018,>2-4 Years,>7-12 Months,1,1731310.73,NA,1,2015-01-01,2015,Full Year,Other DoD,Other DoD,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Multi-Awd.,Multi-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,ICT,Services (Non-R&D),Services (Non-R&D),"Electronics, Comms, & Sensors",Other DoD,Big Five,2166267.9459572635,Cost-Based,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),>1 year
2008,NA,Defense,Navy,FRS,Facilities and Construction,NA,NA,NA,Limited Competition with multiple offers (Overrode blank Fair Opportunity),10-24 Offers,FFP,J,Medium >1B,TRUE,N,N,X,NA,FALSE,NA,NA,NA,3,0,NA,NA,2008-01-01,2008,Full Year,Navy,Navy,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,NA,NA,NA,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,FRS,Services (Non-R&D),Services (Non-R&D),Facilities and Construction,Navy,Medium,0,FFP,NA,FFP,FFP,Fixed-Price,NA
2000,NA,Defense,Army,Basic Research (6.1),Other R&D and Knowledge Based,NA,NA,DCA,Limited Competition with multiple offers,Two Offers,FFP,J,Small,FALSE,N,N,X,2000,FALSE,1900,NA,>2-7 Months,8,468335,NA,8,2000-01-01,2000,Full Year,Army,Army,2 Offers,Effective Comp.,2+ Offers,2+ Offers,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,Other R&D and Knowledge Based,Army,Small,787352.3402504367,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
2007,NA,Defense,Air Force,Basic Research (6.1),Space Systems,NA,NA,SINGLE AWARD IDC,Competition with single offer,One Offer,Other CB,U,Small,FALSE,N,N,X,2008,FALSE,1900,NA,>4 years,8,191900,NA,8,2007-01-01,2007,Full Year,Air Force,Air Force,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Single-Awd.,Single-Awd.,Task Order,Cost Plus Fixed Fee,Other CB,Cost-Based,Cost or Effort-Based,Cost or Effort-Based,R&D,R&D,R&D,Space Systems,Air Force,Small,271691.4057713722,Cost-Based,>1 year,Cost-Based,Cost-Based,Cost or Effort-Based,NA
2021,NA,Defense,Navy,Engines & Power Plants,Ships & Submarines,NA,NA,DCA,Competition with single offer,One Offer,FFP,J,Large: Big 5,TRUE,N,Y,Y,2022,FALSE,2023,>4 years,>4 years,1,126774,NA,1,2021-01-01,2021,Full Year,Navy,Navy,1 Offer,Not Effective Comp.,1 Offer,1 Offer,Definitive,Definitive,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Ships & Submarines,Navy,Big Five,141845.11622344,FFP,>1 year,FFP,FFP,Fixed-Price,>1 year
2009,NA,Defense,DLA,Electronics & Communications,Aircraft,FALSE,NA,MULTIPLE AWARD IDC,No Competition (Only One Source Exception),No competition,FFP,J,Large,TRUE,N,N,N,2010,FALSE,2010,>7-12 Months,>7-12 Months,1,32323,NA,1,2009-01-01,2009,Full Year,Other DoD,DLA,No Comp.,Not Effective Comp.,No Comp.,No Comp. (Only 1 Source),Multi-Awd.,Multi-Awd.,Task Order,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Aircraft,DLA,Large,44378.2320069613,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),<=1 year
2004,NA,Defense,Army,Engines & Power Plants,Land Vehicles,NA,NA,PO,Full Competition (Multiple Offers),5-9 Offers,FFP,J,Small,FALSE,Y,N,X,9999,FALSE,1900,NA,>4 years,1,0,NA,1,2004-01-01,2004,Full Year,Army,Army,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,Products,Products (All),Products (All),Land Vehicles,Army,Small,0,FFP,>1 year,FFP,FFP,Fixed-Price,NA
2006,NA,Defense,Other DoD,Advanced Development,Other R&D and Knowledge Based,NA,NA,PO,Limited Competition with multiple offers,25-99 Offers,FFP,J,Small,FALSE,N,N,X,2007,FALSE,1900,NA,>2-7 Months,2,197984,NA,2,2006-01-01,2006,Full Year,Other DoD,Other DoD,3+ Offers,Effective Comp.,2+ Offers,2+ Offers,Pur. Order,Pur. Order,Award,Firm Fixed Price,FFP,FFP,Fixed-Price,Fixed-Price,R&D,R&D,R&D,Other R&D and Knowledge Based,Other DoD,Small,288021.77178313036,FFP,<=1 year,<=1 Year (All Types),<=1 Year (All Types),<=1 Year (All Types),NA
