"Product_or_Service_Code","Product_or_Service_Description","Action_Obligation2020","Action_Obligation2021"
"M1JA","OPERATION OF MUSEUMS AND EXHIBITION BUILDINGS",0,0
"M1JB","OPERATION OF TESTING AND MEASUREMENT BUILDINGS",0,0
"M1KA","OPERATION OF DAMS",0,0
"M294","OPER OF GOVT WASTE TRMT-STORE FAC",0,0
"N012","INSTALLATION OF EQUIPMENT- FIRE CONTROL EQUIPMENT",0,0
"N015","INSTALLATION OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS",0,0
"N040","INSTALLATION OF EQUIPMENT- ROPE, CABLE, CHAIN, AND FITTINGS",0,0
"N043","INSTALLATION OF EQUIPMENT- PUMPS AND COMPRESSORS",0,0
"Q505","MEDICAL- GASTROENTEROLOGY",0,0
"Q506","MEDICAL- GERIATRIC",0,0
"Q507","MEDICAL- GYNECOLOGY",0,0
"Q511","MEDICAL- OPHTHALMOLOGY",0,0
"Q516","MEDICAL- PEDIATRIC",0,0
"Q801","MEDICAL APPOINTING SERVICES",0,0
"R414","SYSTEMS ENGINEERING SERVICES",0,0
"R616","SUPPORT - ADMINISTRATIVE: PHYSICAL RECORDS MANAGEMENT SERVICES",0,0
"T003","PHOTO/MAP/PRINT/PUBLICATION- CATALOGING",0,0
"T008","PHOTO/MAP/PRINT/PUBLICATION- PHOTOGRAMMETRY",0,0
"T011","PHOTO/MAP/PRINT/PUBLICATION- PRINT/BINDING",0,0
"U004","EDUCATION/TRAINING- SCIENTIFIC/MANAGEMENT",0,0
"V126","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH",0,0
"W072","LEASE OR RENTAL OF EQUIPMENT- HOUSEHOLD AND COMMERCIAL FURNISHINGS AND APPLIANCES",0,0
"Y181","CONSTRUCT/R&D - GOCO FACILITIES",0,0
"Y199","CONSTRUCT/MISC BLDGS",0,0
"Y1BA","CONSTRUCTION OF AIR TRAFFIC CONTROL TOWERS",0,0
"Y1BD","CONSTRUCTION OF AIRPORT RUNWAYS AND TAXIWAYS",0,0
"Y1BF","CONSTRUCTION OF MISSILE SYSTEM FACILITIES",0,0
"Y1BZ","CONSTRUCTION OF OTHER AIRFIELD STRUCTURES",0,0
"Y1CA","CONSTRUCTION OF SCHOOLS",0,0
"Y1CZ","CONSTRUCTION OF OTHER EDUCATIONAL BUILDINGS",0,0
"Y1EA","CONSTRUCTION OF AMMUNITION FACILITIES",0,0
"Y1GD","CONSTRUCTION OF OPEN STORAGE FACILITIES",0,0
"Y1KB","CONSTRUCTION OF CANALS",0,0
"Y1KZ","CONSTRUCTION OF OTHER CONSERVATION AND DEVELOPMENT FACILITIES",0,0
"Y1LC","CONSTRUCTION OF TUNNELS AND SUBSURFACE STRUCTURES",0,0
"Y1NB","CONSTRUCTION OF HEATING AND COOLING PLANTS",0,0
"Y1NC","CONSTRUCTION OF POLLUTION ABATEMENT AND CONTROL FACILITIES",0,0
"Y1NE","CONSTRUCTION OF WATER SUPPLY FACILITIES",0,0
"Y1PA","CONSTRUCTION OF RECREATION FACILITIES (NON-BUILDING)",0,0
"Y1PB","CONSTRUCTION OF EXHIBIT DESIGN (NON-BUILDING)",0,0
"Y1PC","CONSTRUCTION OF UNIMPROVED REAL PROPERTY (LAND)",0,0
"Y1PD","CONSTRUCTION OF WASTE TREATMENT AND STORAGE FACILITIES",0,0
"Y237","CONSTRUCT/EPG - SOLAR",0,0
"Z1BA","MAINTENANCE OF AIR TRAFFIC CONTROL TOWERS",0,0
"Z1EA","MAINTENANCE OF AMMUNITION FACILITIES",0,0
"Z1FC","MAINTENANCE OF TROOP HOUSING FACILITIES",0,0
"Z1HA","MAINTENANCE OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES",0,0
"Z1JA","MAINTENANCE OF MUSEUMS AND EXHIBITION BUILDINGS",0,0
"Z1KA","MAINTENANCE OF DAMS",0,0
"Z1KB","MAINTENANCE OF CANALS",0,0
"Z1NE","MAINTENANCE OF WATER SUPPLY FACILITIES",0,0
"Z1PD","MAINTENANCE OF WASTE TREATMENT AND STORAGE FACILITIES",0,0
"Z294","MAINT-REP-ALT/WASTE TRMT-STORE FAC",0,0
"Z2AB","REPAIR OR ALTERATION OF CONFERENCE SPACE AND FACILITIES",0,0
"Z2BD","REPAIR OR ALTERATION OF AIRPORT RUNWAYS AND TAXIWAYS",0,0
"Z2BG","REPAIR OR ALTERATION OF ELECTRONIC AND COMMUNICATIONS FACILITIES",0,0
"Z2ED","REPAIR OR ALTERATION OF SHIP CONSTRUCTION AND REPAIR FACILITIES",0,0
"Z2EZ","REPAIR OR ALTERATION OF OTHER INDUSTRIAL BUILDINGS",0,0
"Z2FA","REPAIR OR ALTERATION OF FAMILY HOUSING FACILITIES",0,0
"Z2FB","REPAIR OR ALTERATION OF RECREATIONAL BUILDINGS",0,0
"Z2FZ","REPAIR OR ALTERATION OF OTHER RESIDENTIAL BUILDINGS",0,0
"Z2GA","REPAIR OR ALTERATION OF AMMUNITION STORAGE BUILDINGS",0,0
"Z2HB","REPAIR OR ALTERATION OF GOVERNMENT-OWNED GOVERNMENT-OPERATED (GOGO) R&D FACILITIES",0,0
"Z2JA","REPAIR OR ALTERATION OF MUSEUMS AND EXHIBITION BUILDINGS",0,0
"Z2JB","REPAIR OR ALTERATION OF TESTING AND MEASUREMENT BUILDINGS",0,0
"Z2LC","REPAIR OR ALTERATION OF TUNNELS AND SUBSURFACE STRUCTURES",0,0
"Z2MG","REPAIR OR ALTERATION OF EPG FACILITIES - SOLAR",0,0
"Z2NA","REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES",0,0
"Z2NB","REPAIR OR ALTERATION OF HEATING AND COOLING PLANTS",0,0
"Z2NC","REPAIR OR ALTERATION OF POLLUTION ABATEMENT AND CONTROL FACILITIES",0,0
"Z2ND","REPAIR OR ALTERATION OF SEWAGE AND WASTE FACILITIES",0,0
"Z2NZ","REPAIR OR ALTERATION OF OTHER UTILITIES",0,0
"5610","MINERAL CONSTRUCTION MATERIALS, BULK",0,-0.68
"4420","HEAT EXCHANGERS AND STEAM CONDENSERS",-600,0
"2925","ENGINE ELECTRICAL SYSTEM COMPONENTS, AIRCRAFT PRIME MOVING",-999.99,0
"Q503","MEDICAL- DENTISTRY",0,-1055.72
"W088","LEASE OR RENTAL OF EQUIPMENT- LIVE ANIMALS",-2000,0
"H210","EQUIPMENT AND MATERIALS TESTING- WEAPONS",-2083.97,0
"3590","MISCELLANEOUS SERVICE AND TRADE EQUIPMENT",-57682.42,55595.13
"R411","SUPPORT- PROFESSIONAL: REAL PROPERTY APPRAISALS",-3500,0
"U002","EDUCATION/TRAINING- PERSONNEL TESTING",-3685,0
"1620","AIRCRAFT LANDING GEAR COMPONENTS",-3807.5,0
"X1JA","LEASE/RENTAL OF MUSEUMS AND EXHIBITION BUILDINGS",-4000,0
"C1DB","ARCHITECT AND ENGINEERING- CONSTRUCTION: LABORATORIES AND CLINICS",-5802.83,0
"Y1MB","CONSTRUCTION OF EPG FACILITIES - GAS",-6399.26,0
"1990","MISCELLANEOUS VESSELS",-7600,0
"R614","SUPPORT- ADMINISTRATIVE: PAPER SHREDDING",-8120.89,0
"1670","PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT",-9603.75,0
"B503","SPECIAL STUDIES/ANALYSIS- ARCHEOLOGICAL/PALEONTOLOGICAL",0,-9872.73
"5855","NIGHT VISION EQUIPMENT, EMITTED AND REFLECTED RADIATION",-10792.98,0
"5935","CONNECTORS, ELECTRICAL",-13123.48,129.3
"2090","MISCELLANEOUS SHIP AND MARINE EQUIPMENT",-14141.49,0
"5845","UNDERWATER SOUND EQUIPMENT",-16006,0
"3020","GEARS, PULLEYS, SPROCKETS, AND TRANSMISSION CHAIN",-16600.85,0
"G003","SOCIAL- RECREATIONAL",-200474.4,181920.59
"2920","ENGINE ELECTRICAL SYSTEM COMPONENTS, NONAIRCRAFT",-22374.52,0
"5420","BRIDGES, FIXED AND FLOATING",-25500,0
"V127","TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SECURITY VEHICLE",-30000,0
"Q510","MEDICAL- NEUROLOGY",-122681,87429.91
"2590","MISCELLANEOUS VEHICULAR COMPONENTS",-1265.51,-37416.87
"Q512","MEDICAL- OPTOMETRY",50500,-90246.4
"2520","VEHICULAR POWER TRANSMISSION COMPONENTS",-40045.79,0
"U013","EDUCATION/TRAINING- COMBAT",-70284.83,18000
"1095","MISCELLANEOUS WEAPONS",0,-57960
"2530","VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",-25338.09,-32829.8
"X1AZ","LEASE/RENTAL OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS",-150488.27,86177.8
"4730","HOSE, PIPE, TUBE, LUBRICATION, AND RAILING FITTINGS",705.26,-73628.59
"AF12","R&D- EDUCATION: EDUCATIONAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)",0,-90000
"2510","VEHICULAR CAB, BODY, AND FRAME STRUCTURAL COMPONENTS",-60001.91,-31924.58
"F005","NATURAL RESOURCES/CONSERVATION- FOREST TREE PLANTING",-96920.5,0
"U006","EDUCATION/TRAINING- VOCATIONAL/TECHNICAL",-99079.48,0
"F111","ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT",0,-115251.36
"R420","SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A)",-222060.96,106246.68
"C212","ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM",-117171,0
"C1BF","ARCHITECT AND ENGINEERING- CONSTRUCTION: MISSILE SYSTEM FACILITIES",-118979.59,0
"Q602","MEDICAL RECORDS",-210026.89,0
"X1FB","LEASE/RENTAL OF RECREATIONAL BUILDINGS",-231400,-9240
"2540","VEHICULAR FURNITURE AND ACCESSORIES",-155359.21,-104896.26
"F010","NATURAL RESOURCES/CONSERVATION- SEEDLING PRODUCTION/TRANSPLANTING",-367772.4,0
"1920","FISHING VESSELS",255500.81,-720996.8
"U003","EDUCATION/TRAINING- RESERVE TRAINING (MILITARY)",-754536,0
"AR36","R&D- SPACE: FLIGHT (MANAGEMENT/SUPPORT)",-911976,0
