Description_of_Requirement,descrip_row_number,Remotely_Crewed,UAS,CUAS,Maritime,mq,rq,any_uas
DESIGN AND CONSTRUCTION MODIFICATIONS NEEDED TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND BAGGAGE HANDLING SYSTEM IN ORDER FOR TSA TO INSERT THE EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM.  TSA IS PROVIDING FINANCIAL ASSISTANCE TO EXPAND THE TERMINAL SO THAT THE CBIS CAN BE INSTALLED IN ACCORDANCE WITH TSA'S MISSION.,108,,,,,,,
OTA FOR MFE FOR IMPROVED SCREENING AT THIS AIRPORT.,109,,,,,,,
OTHER TRANSACTION AGREEMENT TO PROVIDE DESIGN ENGINEERING SERVICES FUNDING TO CLEVELAND HOPKINS INTERNATIONAL AIRPORT FOR THE EVALUATION OF THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION SYSTEMS.,110,,,,,,,
OTHER TRANSACTION AGREEMENT FUNDING WITH THE CITY OF MANCHESTER TO PROVIDE DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION EQUIPMENT AT MANCHESTER BOSTON REGIONAL AIRPORT.,111,,,,,,,
THIS IS AN OTHER TRANSACTION AGREEMENT TO PROVIDE DESIGN ENGINEERING SERVICES FUNDING TO DENVER INTERNATIONAL AIRPORT FOR THE EVALUATION OF THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION SYSTEMS.,112,,,,,,,
INSTALLATION OF SECURITY EQUIPMENT AT CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT,113,,,,,,,
OTHER TRANSACTION AGREEMENT PROVIDES FUNDING TO THE CITY OF AUSTIN AVIATION DEPARTMENT TO PROVIDE DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION SYSTEMS AT AUSTIN-BERGSTROM INTERNATIONAL AIRPORT.,114,,,,,,,
MODIFICATION P00004 TO HSTS04-09-H-REC170 EXTENDS THE PERIOD OF PERFORMANCE AT NO ADDITIONAL COST TO TSA.,115,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00003 IS TO EXTEND THE PERIOD OF PERFORMANCE TO JUNE 30, 2013 AND CHANGE THE CO AND COTR INFORMATION.",116,,,,,,,
MODIFICATION P00001 CHANGES THE CONTRACTING OFFICER AND CONTRACTING OFFICER'S TECHNICAL REPRESENTATIVE.,117,,,,,,,
THE PURPOSE OF THIS MODIFICATION P0001 IS TO CHANGE THE CO AND COTR INFORMATION.,118,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE FROM FEBRUARY 28, 2013 TO JUNE 30, 2013.",119,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00004 IS TO EXTEND THE PERIOD OF PERFORMANCE FROM 3/31/2013 TO 6/30/13.,120,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE POC FOR SFO,121,,,,,,,
THIS OTHER TRANSACTION AGREEMENT BETWEEN TSA AND OMAHA AIRPORT AUTHORITY IS FOR DESIGN SERVICES FOR THE INSTALLATION OF A NEW IN-LINE BAGGAGE HANDLING SYSTEM AT OMAHA EPPLEY AIRPORT.,122,,,,,,,
MODIFICATION P00001 TO OTHER TRANSACTION AGREEMENT HSTS04-12-H-CT1204 PROVIDES FUNDING FOR THE DESIGN WORK TO RECAPITALIZE THREE ADDITIONAL EXPLOSIVE DETECTION SYSTEM (EDS) UNITS AT AUSTIN-BERGSTROM INTERNATIONAL AIRPORT (AUS).,123,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00002 IS TO CHANGE THE RDM AND COTR INFORMATION,124,,,,,,,
OTA WITH TSA AND HPN TO PROVIDE FUNDING FOR THE DESIGN AND CONSTRUCTION OF A RECAPITALIZATION CBIS SYSTEM.,125,,,,,,,
EXTENSION OF PERIOD OF PERFORMANCE.,126,,,,,,,
THIS OTHER TRANSACTION AGREEMENT WITH  WAYNE COUNTY AIRPORT AUTHORITY PROVIDES FUNDING FOR DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPOSIVE DETECTION EQUIPMENT AT DETROIT METROPOLITAN WAYNE COUNTY AIRPORT (DTW).,127,,,,,,,
THIS OTHER TRANSACTION AGREEMENT PROVIDES FUNDING TO THE JACKSONVILLE AVIATION AUTHORITY TO PROVIDE DESIGN AND ENGINEERING SERVICES TO EVALUATE THE REMOVAL AND REPLACEMENT OF EXPLOSIVE DETECTION EQUIPMENT AT JACKSONVILLE INTERNATIONAL AIRPORT (JAX).,128,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00001 IS TO CHANGE THE CO AND COTR INFORMATION,129,,,,,,,
THIS MODIFICATION P00002 IS TO EXTEND THE POP AND CHANGE THE CO AND COTR INFORMATION.,130,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 8/28/13.,131,,,,,,,
OTA BETWEEN TSA AND THE CITY OF SYRACUSE TO PROVIDE FUNDING FOR THE DESIGN AND CONSTRUCTION FOR A CBIS INSTALLATION AT SYR.,132,,,,,,,
THIS OTA WITH JOHN WAYNE AIRPORT WITH RESPECT TO THE DESIGN SERVICES NECESSARY TO IMPLEMENT THE TSA RECAPITALIZATION EFFORT.,133,,,,,,,
"THIS IS AN OTHER TRANSACTION AGREEMENT WITH CHICAGO MIDWAY INTERNATIONAL (MDW) TO DESIGN SERVICES NECESSARY TO IMPLEMENT TSA RECAPITALIZATION TO DEVELOP VARIOUS COST-EFFECTIVE SOLUTIONS TO REPLACE THE FIVE L3 EXPLOSIVE DETECTION SYSTEM MACHINES CURRENTLY DEPLOYED AT THE AIRPORT, WHILE MINIMIZING THE IMPACT TO OPERATIONS AND REDUCING THE NUMBER OF EDS  BY USING HIGHER THROUGHPUT TECHNOLOGY UNITS.",134,,,,,,,
THIS OTHER TRANSACTION AGREEMENT WITH THE CHICAGO DEPARTMENT OF AVIATION FOR CHICAGO O'HARE INTERNATIONAL AIRPORT IS FOR DESIGN SERVICES TO IMPLETED THE RECAPITALIZATION EFFORT OF THE NINE AGAIN EXPLOSIVE DETECTION SYSTEMS (EDS) MACHINES CURRENTLY DEPLOYED AT TERMINAL 3 OF THE AIRPORT.,135,,,,,,,
"THE PURPOSE OF MODIFICATION P00001 TO OTA HSTS04-13-H-CT1116 IS TO EXTEND THE PERIOD OF PERFORMANCE TO AUGUST 31, 2013 TO ALLOW OAA TO SUBMIT A FINAL INVOICE.",136,,,,,,,
"THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT WITH THE CITY OF HOUSTON FOR THE GEORGE BUSH INTERNATIONAL AIRPORT IS TO DEVELOP VARIOUS COST-EFFECTIVE SOLUTIONS RO REPLACE EIGHT AGING EXPLOSIVE DETECTION SYSTEMS (EDS) MACHINES CURRENTLY DEPLOYED AT TERMINAL A OF THE AIRPORT, WHILE MINIMIZING THE IMPACT TO OPERATIONS AND REDUCING THE NUMBER OF EDS BY USING HIGHER THROUGHPUT TECHNOLOGY UNITS.",137,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 8/31/2013.,138,,,,,,,
OTHER TRANSACTION AGREEMENT WITH OKALOOSA COUNTY AIRPORT ADMINISTRATION FOR DESIGN SERVICES AT NORTHWEST FLORIDA REGIONAL AIRPORT (VPS).,139,,,,,,,
MODIFICATION P00001 TO OTHER TRANSACTION AGREEMENT HSTS04-12-H-CT1247 IS AN ADMINISTRATIVE UNILATERAL MODIFICATION TO CORRECT A TYPOGRAPHICAL ERROR IN ARTICLE VI (EFFECTIVE DATE AND TERM).,140,,,,,,,
RECAPITALIZATION AND OPTIMIZATION DESIGN ENGINEERING PROJECT TO REPLACE EXPLOSIVE DETECTION SYSTEMS AT RSW.,141,,,,,,,
ATL RECAP DESIGN OTA,142,,,,,,,
PIT RECAP DESIGN OTA,143,,,,,,,
BWI RECAP DESIGN OTA,144,,,,,,,
ATL DESIGN OTA,145,,,,,,,
MDT RECAP DESIGN OTA,146,,,,,,,
PIT DESIGN OTA,147,,,,,,,
OTHER TRANSACTION AGREEMENT PROVIDES FUNDING TO HILLSBOROUGH COUNTY AVIATION AUTHORITY FOR ARCHITECT AND ENGINEERING SERVICES AT TAMPA INTERNATIONAL AIRPORT TO DEVELOP DESIGNS TO REPLACE EXPLOSIVE DETECTION SYSTEM EQUIPMENT.,148,,,,,,,
OTHER TRANSACTION AGREEMENT BETWEEN TSA AND THE CITY OF KILLEEN TO PROVIDE FUNDING TO DESIGN AND BUILD OUT EXISTING SPACE TO HOUSE THE TSA CBIS IN THE KILLEEN-FORT HORT REGIONAL AIRPORT.,149,,,,,,,
THE OTA WITH TULSA AIRPORTS IMPROVEMENT TURST PROVIDES FUNDING TO ADDRESS A NUMBER OF PRE-EXISTING ISSUES IWTH THE CURRENT CBIS THAT HAVE BEEN IDENTIFIED AT TULSA INTERNATIONAL AIRPORT.,150,,,,,,,
PERIOD OF PERFORMANCE EXTENSION FOR THE CHECKED BAGGAGE INSPECTION SYSTEM AT PHL TERMINAL D AND E.,151,,,,,,,
"MODIFICATION P00002 EXTENDS THE PERIOD OF PERFORMANCE OF THIS OTHER TRANSACTION AGREEMENT UNTIL SEPTEMBER 30, 2013.",152,,,,,,,
FUNDING FOR TSA/LAW ENFORCEMENT OFFICER (LEO) PROGRAM,153,,,,,,,
"FUNDING FOR LAW ENFORCEMENT OFFICER [LEO] PROGRAM -- REVISED AMOUNT FOR BASE PERIOD OF $29,484.00 (ORIG. $35,100.00).",154,,,,,,,
"THE PURPOSE OF MODIFICATION P00001 TO HSTS04-11-H-CT1149 IS TO EXTEND THE PERIOD OF PERFORMANCE TO SEPTEMBER 30,2013 AND CHANGE THE CONTRACTING OFFICER AND CONTRACTING OFFICER'S TECHNICAL REPRESENTATIVE.",155,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE THE POC FOR SFO.,156,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE FROM 6/30/2013 TO 9/30/2013,157,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 9/30/13.,158,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 9/30/2013, CHANGE HENRY EDQUIST'S CONTACT INFORMATION AND ADD THE QUARTERLY FINANCIAL STATEMENT.",159,,,,,,,
"ADMIN MOD TO DE-OBLIGATE $25,000.00",160,,,,,,,
TO PROVIDE FUNDING FOR THE INSTALLATION OF A NEW BAGGAGE HANDLING SYSTEM IN RDU'S TERMINAL 1 TO SUPPORT UPGRADING THE TSA IN-LINE CHECKED BAGGAGE INSPECTION SYSTEM AND CHECKED BAGGAGE RESOLUTION AREA.,161,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00001 IS TO CHANGE CO AND THE COTR INFORMATION.,162,,,,,,,
THE PURPOSE OF THIS MODIFICATION P0001 IS TO DELETE ANY AND ALL REFERENCES OF FINANCIAL ASSISTANCE IN THE OTA.,163,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO INCORPORATE THE APPLICABLE DAVIS BACON CLAUSE AS IT RELATES TO SECTION 1606 OF THE RECOVERY ACT AND INCORPORATE THE APPLICABLE DEPARTMENT OF LABOR WAGE DETERMINATION TO BE RETROACTIVELY APPLIED TO THE EFFECTIVE DATE OF THIS OTA.,164,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE HENRY EDQUIST'S CONTACT INFORMATION AND ADD THE QUARTERLY FINANCIAL STATEMENT.,165,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00001 IS TO DELETE ANY AND ALL REFERENCES THAT MAY BE INTERPRETED AS ""FINANCIAL ASSISTANCE"" IN ITS ENTIRETY.",166,,,,,,,
ADMINISTRATIVE MOD TO UPDATE CONTRACTING OFFICER POINT OF CONTACT INFO FOR THE CHARLOTTE DOUGLAS INTERNATIONAL AIRPORT CHECKED BAGGAGE INSPECTION SYSTEM,167,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00002 IS TO CHANGE THE CO AND COTR INFORMATION.,168,,,,,,,
"THE PURPOSE OF THIS PR 21-13-203-CT1088 IS TO MODIFY THE OTA'S POP DATE FROM MARCH 31, 2012 TO DECEMBER 31, 2013",169,,,,,,,
"THE PURPOSE OF MODIFICATION P00001 TO OTA#HSTS04-12-H-CT1189 IS TO MODIFY THE SCOPE OF WORK TO INCORPORATE ADDITIONAL RECAPITALIZATION DESIGN WORK AT DENVER INTERNATIONAL AIRPORT, INCREASE THE FUNDING, EXTEND THE PERIOD OF PERFORMANCE, AND UPDATE TSA'S POINTS OF CONTACT.",170,,,,,,,
THE OTHER TRANSACTION AGREEMENT (OTA) WITH THE CITY AND COUNTY OF SAN FRANCISCO COMMISSION PROVIDES FUNDING FOR DESIGN SERVICES NECESSARY TO IMPLEMENT THE TSA RECAPITALIZATION EFFORT OF THE CHECKED BAGGAGE INSPECTION SYSTEM (CBIS) AT SAN FRANCISCO INTERNATIONAL AIRPORT.,171,,,,,,,
DESIGN RECAPITALISATION OTA FOR PHL,172,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00003 IS TO EXTEND THE PERIOD OF PERFORMANCE TO DECEMBER 31, 2013.",173,,,,,,,
PHL DESIGN OTA,174,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 12/31/2014, CHANGE HENRY EDQUIST'S CONTACT INFORMATION AND ADD THE QUARTERLY FINANCIAL STATEMENT.",175,,,,,,,
"THE PURPOSE OF MODIFICATION P00003 TO AGREEMENT HSTS04-12-H-CT1204 IS TO 1) MODIFY THE CURRENT SCOPE OF OTA HSTS04-12-H-CT1204 TO INCLUDE A 100% DESIGN EFFORT FOR AUSTIN-BERGSTROM INTERNATIONAL AIRPORT'S CHECKED BAGGAGE RESOLUTION AREA (CBRA),  AND 2) EXTEND THE PERIOD OF PERFORMANCE OF THE SUBJECT OTA FROM JULY 31, 2013 TO DECEMBER 31, 2013.",176,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 12/31/13, CHANGE HENRY EDQUIST'S CONTACT INFORMATION, AND ADD THE QUARTERLY FINANCIAL STATEMENT.",177,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO DELETE THE PROMPT PAYMENT ACT LANGUAGE FROM ARTTICLE X - PAYMENT.,178,,,,,,,
ADD FUNDING FOR TESTING REQUIREMENTS.,179,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE HENRY EDQUIST'S CONTACT INFORMATION AND THE QUARTERLY FINANCIAL STATEMENT.,180,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 12/31/13, IMPLEMENT THE QUARTERLY FINANCIAL STATEMENT, AND UPDATE HENRY EDQUIST'S CONTACT INFORMATION.",181,,,,,,,
THE PURPOSE FO THIS MODIFICATION IS TO CHANGE THE CONTRACTING OFFICER AND EXTEND THE PERIOD OF PERFORMANCE TO 12/31/13.,182,,,,,,,
OTHER TRANSACTION AGREEMENT WITH BLOOMINGTON-NORMAL AIRPORT AUTHORITY FOR DESIGN AND CONSTRUCTION MODIFICATIONS NEEDING TO BE MADE TO THE AIRPORT TERMINAL BUILDING AND ITS BAGGAGE CONVEYOR SYSTEM IN ORDER FOR TSA TO INSERT EXPLOSIVE DETECTION SYSTEM UNITS INTO THE CHECKED BAGGAGE INSPECTION SYSTEM FOR AN AUTOMATED IN-LINE BAGGAGE SCREENING SOLUTION.,183,,,,,,,
THE PURPOSE OF MODIFICATION P0001 IS TO CHANGE THE ACCOUNTING CODE.,184,,,,,,,
THE PURPOSE OF MODIFICATION P00002 IS TO CHANGE THE CO AND COTR INFORMATION.,185,,,,,,,
FIXED ELECTRICAL COSTS AND JANITORIAL SERVICES AT TSA CHECKPOINT AND BAGGAGE AREA AT SRQ.,186,,,,,,,
FIXED ELECTRICAL UTILITY COSTS AND JANITORIAL SERVICES FOR JACKSONVILLE INTERNATIONAL AIRPORT (JAX),187,,,,,,,
FIXED ELECTRICAL COSTS AND JANITORIAL SERVICES AT TSA SECURITY CHECKPOINT AND BAGGAGE AREA AT ORF.,188,,,,,,,
OTA TO DEFINE THE USE OF SPACE AND REIMBURSEMENT OF FIXED ELECTRICAL COSTS AND JANITORIAL SERVICES AT BELLINGHAM INTERNATIONAL AIRPORT (BLI).,189,,,,,,,
OTA TO DEFINE USE OF SPACE AND REIMBURSE FIXED ELECTRICAL COSTS AND JANITORIAL SERVICES FOR TSA SECURITY CHECKPOINT AND BAGGAGE AREA AT MLI.,190,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 2/28/14.,191,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00004 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 2/28/2014 AND UPDATE HENRY EDQUIST'S CONTACT INFORMATION.,192,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO 1) INCREASE FUNDING FOR DESIGN SERVICES THAT WILL MEET ALL REQUIREMENTS OF THE TSA SECURITY TECHNOLOGY INTEGRATED PROGRAM (STIP) DATA REQUIREMENTS FOR CHECKED BAGGAGE SYSTEMS AND 2) INCLUDE THE STIP DATA REQUIREMENTS AS APPENDIX C.,193,,,,,,,
OTA TO DEFINE THE USE OF SPACE AND REIMBURSEMENT OF FIXED ELECTRICAL COSTS AND JANITORIAL SERVICES AT CENTRAL NEBRASKA REGIONAL AIRPORT (GRI).,194,,,,,,,
"MODIFICATION P00002 TO OTHER TRANSACTION AGREEMENT (OTA) HSTS04-11-H-CT1215 EXTENDS THE PERIOD OF PERFORMANCE UNTIL MARCH 31, 2014 AT NO ADDITIONAL COST TO THE GOVERNMENT.",195,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 3/31/2014, UPDATE MR. HENRY EDQUIST'S INFORMATION, AND ADD THE QUARTERLY FINANCIAL STATEMENT.",196,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO UPDATE HENRY EDQUIST'S CONTACT INFORMATION AND ADD THE QUARTERLY FINANACIAL STATEMENT.,197,,,,,,,
MODIFICATION P00001 TO HSTS04-12-H-CT1016 IS TO CHANGE THE CONTRACTING OFFICER,198,,,,,,,
OTA FOR USE OF SPACE AND REIMBURSEMENT OF ELECTRICAL CONSUMPTION COSTS AT TSA CHECKPOINT AT FSM AIRPORT.,199,,,,,,,
OTHER TRANSACTION AGREEMENT TO DEFINE USE OF SPACE AND PROVIDE REIMBURSEMENT FOR ELECTRIC CONSUMPTION COSTS AND JANITORIAL SERVICES.,200,,,,,,,
OTA FOR USE OF SPACE AND REIMBURSEMENT OF ELECTRICAL COSTS AND JANITORIAL SERVICES AT GULFPORT-BILOXI INTERNATIONAL AIRPORT.,201,,,,,,,
THE PURPOSE OF THIS MODIFICATION WAS TO EXTEND THE PERIOD OF PERFORMANCE TO 4/30/2014.,202,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE FROM 2/28/2014 TO 4/30/2014.,203,,,,,,,
NEW TSA CHECKPOINT OTA TO DEFINE THE USE OF SPACE AT THE AIRPORT AND REIMBURSE ELECTRICAL CONSUMPTION COSTS AND JANITORIAL SERVICES.,204,,,,,,,
POP EXTENSION FOR PHL OTA,205,,,,,,,
NEW TSA CHECKPOINT OTA TO DEFINE USE OF AIRPORT SPACE AND REIMBURSE COSTS FOR JANITORIAL SERVICES AT THE SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS.,206,,,,,,,
NEW CHECKPOINT AGREEMENT TO DEFINE TSA USE OF CHECKPOINT SPACE AND BAGGAGE SCREENING AREAS AND REIMBURSEMENT ELECTRICAL COSTS AND JANITORIAL SERVICES.,207,,,,,,,
TO DE-OBLIGATE RESIDUAL FUNDS AND CLOSEOUT AGREEMENT.,208,,,,,,,
CHECKPOINT OTA TO DEFINE USE OF SPACE AND PROVIDE REIMBURSEMENT FOR FIXED ELECTRIC CONSUMPTION COSTS AT DANE COUNTY REGIONAL AIRPORT (MSN).,209,,,,,,,
ADDITIONAL FUNDING OBLIGATED TO SUPPORT PGDS UPGRADES,210,,,,,,,
THE PURPOSE OF THIS OTHER TRANSACTION AGREEMENT IS TO PROVIDE FUNDING TO METROPOLITIAN NASHVILLE AIRPORT AUTHORITY TO MODIFY THE EXISTING CHECKED BAGGAGE RESOLUTION AREA AT NASHVILLE INTERNATIONAL AIRPORT.,211,,,,,,,
CHECKPOINT OTA TO DEFINE USE OF TSA CHECKPOINT AND BAGGAGE SCREENING SPACE AT GERALD R. FORD INTERNATIONAL AIRPORT (GRR)AND PROVIDE REIMBURSEMENT FOR ELECTRIC CONSUMPTION COSTS AND JANITORIAL SERVICES.,212,,,,,,,
CHEKCPOINT OTA TO DEFINE USE OF SPACE AND REIMBURSE FIXED JANITORIAL COSTS AT MEMPHIS-SHELBY COUNTY AIRPORT (MEM).,213,,,,,,,
NEW CHECKPOINT AGREEMENT TO DEFINE THE USE OF SPACE AND REIMBURSE FIXED ELECTRICAL CONSUMPTION COSTS AND JANITORIAL SERVICES AT THE TSA CHECKPOINT AND BAGGAGE SCREENING AREAS AT MSP AIRPORT.,214,,,,,,,
NEW CHECKPOINT AGREEMENT TO DEFINE USE OF SPACE AND REIMBURSE JANITORIAL COSTS AT THE TSA CHECKPOINT AND BAGGAGE SCREENING AREAS AT NASHVILLE INTERNATIONAL AIRPORT (BNA),215,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE OF THE OTA TO 6/30/2014.,216,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 6/30/14, INCORPORATE THE QUARTERLY FINANCIAL STATEMENT, AND UPDATE HENRY EDQUIST'S CONTACT INFORMATION.",217,,,,,,,
"THE PURPOSE OF THIS MODIFICATION P00002 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 6/30/2014, UPDATE HENRY EDQUIST'S CONTACT INFORMATION, AND INCORPORATE THE QUARTERLY FINANCIAL STATEMENT.",218,,,,,,,
"THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO JUNE 30,2014.",219,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 7/30/2014.,220,,,,,,,
NEW CHECKPOINT OTA TO DEFINE THE USE OF SPACE AND PROVIDE REIMBURSMENT FOR ELECTRICAL AND JANITORIAL COSTS AT THE TSA CHECKPOINT AND BAGGAGE AREAS AT YKM AIRPORT.,221,,,,,,,
NEW CHECKPOINT OTA TO DEFINE THE USE OF SPACE PROVIDE REIMBURSEMENT FOR JANITORIAL COSTS AT THE TSA CHECKPOINT AND BAGGAGE AREAS AT CMH AIRPORT.,222,,,,,,,
TSA CHECKPOINT OTHER TRANSACTION AGREEMENT TO DEFINE THE USE OF SPACE AND PROVIDE REIMBURSEMENT FOR ELECTRICAL AND JANITORIAL COSTS AT DTW AIRPORT.,223,,,,,,,
NEW TSA CHECKPOINT OTA TO DEFINE THE USE OF SPACE AND REIMBURSE ELECTRICAL AND JANITORIAL COSTS AT DAYTONA BEACH INTERNATIONAL AIRPORT (DAB).,224,,,,,,,
NEW CHECKPOINT OTA TO REIMBURSE ELECTRICAL AND JANITORIAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT ALBANY INTERNATIONAL AIRPORT (ALB).,225,,,,,,,
NEW CHECKPOINT OTA TO REIMBURSE JANITORIAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT BOISE AIRPORT (BOI).,226,,,,,,,
THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE TO 7/31/2014.,227,,,,,,,
NEW OTA TO REIMBURSE ELECTRICAL AND JANITORIAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT TED STEVENS ANCHORAGE INTERNATIONAL AIRPORT (ANC).,228,,,,,,,
THE PURPOSE OF THIS MODIFICATION P00001 IS TO EXTEND THE PERIOD OF PERFORMANCE TO 8/1/2014.,229,,,,,,,
NEW TSA CHECKPOINT OTA TO DEFINE THE USE OF SPACE AND PROVIDE REIMBURSMENT FOR ELECTRICAL AND JANITORIAL COSTS FOR THE TSA CHECKPOINT AND BAGGAGE SPACE AT TALLAHASSEE REGIONAL AIRPORT.,230,,,,,,,
NEW TSA CHECKPOINT AGREEMENT TO DEFINE THE USE OF SPACE AND REIMBURSE SPOKANE INTERNATIONAL AIRPORT FOR ELECTRICAL AND JANITORIAL COSTS FOR THE TSA CHECKPOINT AND BAGGAGE SPACE.,231,,,,,,,
NEW CHECKPOINT OTA TO REIMBURSE ELECTRICAL AND JANITORIAL COSTS AT THE TSA CHECKPOINT AND BAGGAGE SCREENING AREAS AT SANFORD ORLANDO INTERNATIONAL AIRPORT (SFB).,232,,,,,,,
NEW CHECKPOINT OTA TO REIMBURSE ELECTRICAL CONSUMPTION AND JANITORIAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT BOSTON/LOGAN INTERNATIONAL AIRPORT (BOS).,233,,,,,,,
NEW OTA TO REIMBURSE ELECTRICAL CONSUMPTION AND JANITORIAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREEING AREAS AT CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT (CVG).,234,,,,,,,
NEW OTA TO REIMBURSE ELECTRICAL CONSUMPTION AND JANITORIAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT SALT LAKE CITY INTERNATIONAL AIRPORT (SLC).,235,,,,,,,
NEW OTA TO REIMBURSE ELECTRICAL CONSUMPTION AND JANITORIAL COSTS FOR THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT MYRTLE BEACH INTERNATIONAL AIRPORT (MYR).,236,,,,,,,
NEW OTA TO REIMBURSE ELECTRICAL AND JANITORIAL COSTS AT THE TSA CHECKPOINT AND BAGGAGE SCREENING AREAS AT LOUIS ARMSTRONG NEW ORLEANS INTERNATIONAL AIRPORT (MSY).,237,,,,,,,
NEW OTA TO REIMBURSE THE CITY OF CHICAGO FOR ELECTRICAL CONSUMPTION COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT O'HARE INTERNATIONAL AIRPORT (ORD).,238,,,,,,,
NEW OTA TO REIMBURSE THE ELECTRICAL AND JANITORIAL COSTS FOR THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT FT. LAUDERDALE INTERNATIONAL AIRPORT (FLL).,239,,,,,,,
NEW OTA TO REIMBURSE ELECTRICAL AND JANITORIAL COSTS FOR THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT TRI-CITIES REGIONAL AIRPORT (TRI).,240,,,,,,,
NEW CHECKPOINT OTA TO REIMBURSE ELECTRICAL AND JANITORIAL COSTS AT THE TSA SECURITY CHECKPOINT AND BAGGAGE SCREENING AREAS AT MCALLEN-MILLER INTERNATIONAL AIRPORT (MFE).,241,,,,,,,
